step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04276534914970398,-0.002539129462093115,-0.0036409362219274044,0.0058750007301568985,-0.0022868760861456394,-9.584981341959065e-08,-5.290937770041637e-05,-0.0003364213043823838,-0.0014304266078397632,-0.00042917742393910885,-0.06178883835673332,-0.0008896001381799579,0.009466282092034817,-0.00027034556842409074,0.003961729817092419,-0.0012495198752731085,-0.0026700440794229507,-0.00020584538287948817,-9.816811507334933e-05,0.0008786454563960433,-7.691877544857562e-05,-5.314045665727463e-06,-9.328673331765458e-05,-0.00018881743017118424,0.0,0.0033743041567504406,0.0388212688267231,16.042346954345703,0.001500000013038516,-0.007671270053833723,1.8019702434539795,5.405660629272461,0.2533907890319824,17371.0,0.5015193223953247,14.710000038146973,,-1.5614005327224731,
1,-0.14555074274539948,-0.008000284433364868,-0.011800320819020271,0.0182499960064888,-0.008421413600444794,-4.134033986247232e-07,-0.00031029200181365013,-0.0010486540850251913,-0.004936496261507273,-0.0015539254527539015,-0.21419107913970947,-0.0024069352075457573,0.03184559941291809,-0.0011336130555719137,0.012493913993239403,-0.0038294687401503325,-0.026941007003188133,-0.0008233799017034471,-0.00033524580067023635,0.003929451573640108,-0.0005276864394545555,-1.8008946426562034e-05,-0.00036548427306115627,-0.0006739992531947792,0.0,0.009861437603831291,0.11064483970403671,16.076770782470703,0.005062500014901161,-0.006792640313506126,2.5626368522644043,0.7413709163665771,0.10434651374816895,116237.0,0.502398669719696,35.29999923706055,,-4.698246002197266,
2,-0.2470400035381317,-0.013352422043681145,-0.019839495420455933,0.030249986797571182,-0.014727341011166573,-7.791829261805105e-07,-0.0005929930484853685,-0.0018513628747314215,-0.008423637598752975,-0.002656264929100871,-0.3609623610973358,-0.0037909492384642363,0.05404169484972954,-0.001958058914169669,0.02081134542822838,-0.006319071631878614,-0.08398652076721191,-0.00132768414914608,-0.0005665275966748595,0.007059860974550247,-0.0013266729656606913,-3.095634383498691e-05,-0.0006486776401288807,-0.0011268192902207375,0.0,0.016380544751882553,0.17292717099189758,16.141803741455078,0.007593750022351742,-0.006662676110863686,2.9475631713867188,0.7474017143249512,0.10564899444580078,115238.0,0.50416499376297,59.869998931884766,,-9.304319381713867,
3,-0.33215999603271484,-0.017904452979564667,-0.0266864076256752,0.04033331200480461,-0.019355973228812218,-1.0754445156635484e-06,-0.0012534267734736204,-0.0024684108793735504,-0.01132720336318016,-0.0035805709194391966,-0.46491140127182007,-0.004899714607745409,0.07283331453800201,-0.002663940889760852,0.02776208147406578,-0.008421649225056171,-0.12308092415332794,-0.0018286611884832382,-0.0007613368215970695,0.01028490997850895,-0.001558674848638475,-4.147696745349094e-05,-0.0009588263928890228,-0.0015340112149715424,0.0,0.022528834640979767,0.23932483792304993,16.18673324584961,0.009999999776482582,-0.005777135957032442,3.0515778064727783,0.7506082057952881,0.10465884208679199,114939.0,0.5049669742584229,81.30999755859375,,-12.970625877380371,
4,-0.42982062697410583,-0.023059573024511337,-0.03438909351825714,0.05181246995925903,-0.027315031737089157,-1.4467881328528165e-06,-0.0019118174677714705,-0.003162249457091093,-0.014755758456885815,-0.004703454207628965,-0.6059247255325317,-0.00623791990801692,0.09338878840208054,-0.0034501696936786175,0.0355762243270874,-0.010842723771929741,-0.19514308869838715,-0.0024596150033175945,-0.0009842012077569962,0.01319927629083395,-0.003008394269272685,-5.493919525179081e-05,-0.0012920290464535356,-0.0019845296628773212,0.0,0.027155650779604912,0.3106308579444885,16.25048065185547,0.009999999776482582,-0.006884752307087183,3.014601707458496,0.7468297481536865,0.1038217544555664,115563.0,0.5063346028327942,107.68000030517578,,-17.712753295898438,
5,-0.5510110259056091,-0.02951853536069393,-0.0440799817442894,0.06624995917081833,-0.0335492305457592,-1.8408970845484873e-06,-0.002781426068395376,-0.004160968121141195,-0.018908174708485603,-0.005999363027513027,-0.73954838514328,-0.007941236719489098,0.12037178128957748,-0.004336017183959484,0.04518808051943779,-0.013947765342891216,-0.25907933712005615,-0.0030675865709781647,-0.0012638852931559086,0.018502719700336456,-0.003401172813028097,-7.099728100001812e-05,-0.0015571049880236387,-0.002527322620153427,0.0,0.03581935167312622,0.38870149850845337,16.3240909576416,0.009999999776482582,-0.006399830803275108,3.0375726222991943,0.7459702491760254,0.10431671142578125,115612.0,0.5078775882720947,133.22999572753906,14.710000038146973,-21.491708755493164,-1.5614005327224731
6,-0.6516724824905396,-0.035063885152339935,-0.05235327407717705,0.07824994623661041,-0.0392608717083931,-2.1557852960540913e-06,-0.004047976806759834,-0.004920649342238903,-0.022621195763349533,-0.0071745640598237514,-0.9095184803009033,-0.00933352205902338,0.14254629611968994,-0.0052597010508179665,0.053657423704862595,-0.016395164653658867,-0.340839147567749,-0.0036851526238024235,-0.0015047340421006083,0.021217219531536102,-0.0042715733870863914,-8.359669300261885e-05,-0.0018150995019823313,-0.0030286572873592377,0.0,0.04148368164896965,0.44650715589523315,16.397201538085938,0.009999999776482582,-0.006679384037852287,2.9422426223754883,0.749854326248169,0.10462212562561035,115045.0,0.5096955895423889,154.1999969482422,35.29999923706055,-26.26805877685547,-4.698246002197266
7,-0.7519850730895996,-0.040568865835666656,-0.060660623013973236,0.0902499407529831,-0.04573019593954086,-2.430467247904744e-06,-0.005718064960092306,-0.005635554902255535,-0.02610829845070839,-0.008268452249467373,-1.0411518812179565,-0.010997924022376537,0.1648879498243332,-0.006309704389423132,0.06216096132993698,-0.018833069130778313,-0.4143997132778168,-0.004262024536728859,-0.0017353526782244444,0.024720914661884308,-0.0046732123009860516,-9.344406862510368e-05,-0.002088235691189766,-0.0035027670674026012,0.0,0.04770427942276001,0.5347517132759094,16.472782135009766,0.009999999776482582,-0.006171136163175106,2.778355121612549,0.7514772415161133,0.10425376892089844,114877.0,0.511232852935791,181.22999572753906,59.869998931884766,-31.81809425354004,-9.304319381713867
8,-0.8524414896965027,-0.04609805345535278,-0.06897015869617462,0.10224992036819458,-0.05219607800245285,-3.1662200399296125e-06,-0.006346352398395538,-0.0063933334313333035,-0.029638370499014854,-0.009362719021737576,-1.1320246458053589,-0.012356244027614594,0.1868094652891159,-0.007275687530636787,0.07047379016876221,-0.021323947235941887,-0.505738377571106,-0.004775235895067453,-0.0019696552772074938,0.02740633115172386,-0.006611746735870838,-0.00010933513112831861,-0.0024618033785372972,-0.00396658293902874,0.0,0.058047931641340256,0.5996537208557129,16.523509979248047,0.009999999776482582,-0.005963860545307398,2.626997232437134,0.7485988140106201,0.1044149398803711,115243.0,0.5125450491905212,204.97999572753906,81.30999755859375,-34.92256546020508,-12.970625877380371
9,-0.9535449743270874,-0.05161912739276886,-0.07723508030176163,0.11424992978572845,-0.059623315930366516,-3.1974245757737663e-06,-0.008022632449865341,-0.007245812565088272,-0.03317621350288391,-0.010506759397685528,-1.3159356117248535,-0.013689417392015457,0.20840100944042206,-0.007820310071110725,0.07852569222450256,-0.023887304589152336,-0.5874497294425964,-0.00535530736669898,-0.0022041131742298603,0.03265257179737091,-0.007258039899170399,-0.00012108307419111952,-0.0028095028828829527,-0.00445228535681963,0.0,0.06059250235557556,0.6561079025268555,16.569791793823242,0.009999999776482582,-0.0050905970856547356,2.6409425735473633,0.7462606430053711,0.10451960563659668,115545.0,0.5138854384422302,228.99000549316406,133.22999572753906,-39.35822296142578,-21.491708755493164
