step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934166431427,-0.0026205815374851227,-0.003757671918720007,0.006125000771135092,-0.0025214399211108685,-1.1252395637484369e-07,-0.0003612997243180871,-0.0015318244695663452,-0.0004519677604548633,-0.0617532953619957,-0.0008985119638964534,0.009964097291231155,-4.718854324892163e-05,0.004027571529150009,-0.001331230392679572,-0.0028025328647345304,-0.0002200232120230794,-0.00010314157407265157,0.0015288281720131636,-0.00011329020344419405,-5.6953722378239036e-06,-0.00010516330075915903,-0.0001964379771379754,-0.09610933065414429,0.004519200883805752,0.03725038468837738,15.938092231750488,0.001500000013038516,-0.00706856744363904,7.026455402374268,5.358733177185059,0.24410152435302734,17545.0,0.49947336316108704,12.494253158569336,,-3.1234073638916016,
1,-0.13335877656936646,-0.007490042597055435,-0.01107992883771658,0.01679166406393051,-0.007653928827494383,-4.521742198448919e-07,-0.0010086022084578872,-0.004693842492997646,-0.0014266682555899024,-0.18141983449459076,-0.0022388293873518705,0.029501166194677353,-0.00015201220230665058,0.011580271646380424,-0.003499925136566162,-0.027431350201368332,-0.0007122334791347384,-0.00031227769795805216,0.007422218099236488,-0.0006273257313296199,-1.760092709446326e-05,-0.000319905870128423,-0.0006052703829482198,-0.2942795753479004,0.01231364719569683,0.10473692417144775,15.971220970153809,0.003375000087544322,-0.0072083063423633575,8.936880111694336,0.7403934001922607,0.1082763671875,115833.0,0.4998399019241333,34.95000076293945,,-10.352272987365723,
2,-0.23076872527599335,-0.0125583466142416,-0.018685800954699516,0.028770819306373596,-0.014578128233551979,-8.515821718901861e-07,-0.0017608008347451687,-0.008006157353520393,-0.0024805550929158926,-0.30946746468544006,-0.003562444355338812,0.05174122378230095,-0.0002755248860921711,0.01968182623386383,-0.006041159853339195,-0.0526062473654747,-0.0013124521356076002,-0.0005408094730228186,0.011509304866194725,-0.001280333148315549,-3.051828753086738e-05,-0.0006325575523078442,-0.0010623149573802948,-0.5085033178329468,0.02062900736927986,0.17634335160255432,16.003211975097656,0.007593750022351742,-0.005580642260611057,9.451464653015137,0.746070384979248,0.10471987724304199,115544.0,0.5006728172302246,56.279998779296875,,-16.906497955322266,
3,-0.34219253063201904,-0.01868659444153309,-0.02790287509560585,0.042249977588653564,-0.02211737632751465,-1.2525562169685145e-06,-0.0025982623919844627,-0.011918341740965843,-0.0036933671217411757,-0.4756251573562622,-0.0053674909286201,0.07626079022884369,-0.00042716803727671504,0.02893013320863247,-0.008863857015967369,-0.14053498208522797,-0.001925313612446189,-0.0008040997199714184,0.018526647239923477,-0.0025467919185757637,-4.4711119699059054e-05,-0.0009819946717470884,-0.0015720606315881014,-0.7570816874504089,0.02962060272693634,0.26263362169265747,16.01632308959961,0.009999999776482582,-0.00558348698541522,8.913216590881348,0.7484939098358154,0.10476899147033691,115209.0,0.501068115234375,85.41000366210938,,-27.701534271240234,
4,-0.44130808115005493,-0.023966461420059204,-0.03576522320508957,0.05424996837973595,-0.02762601338326931,-1.5524960872426163e-06,-0.0035118868108838797,-0.01539540197700262,-0.0047774603590369225,-0.6353234052658081,-0.006755132228136063,0.09807997941970825,-0.0005277266609482467,0.037078119814395905,-0.011400533840060234,-0.25387483835220337,-0.0024321838282048702,-0.0010367634240537882,0.024215560406446457,-0.002800114220008254,-5.676054206560366e-05,-0.0012280673254281282,-0.002029371215030551,-0.9757198095321655,0.03642549738287926,0.322255939245224,16.066740036010742,0.009999999776482582,-0.0066248211078345776,9.233567237854004,0.749119758605957,0.1044313907623291,115170.0,0.5017983317375183,108.3499984741211,,-36.89280700683594,
5,-0.5383996963500977,-0.029208099469542503,-0.043653905391693115,0.06624995917081833,-0.033480118960142136,-1.8730455622062436e-06,-0.00414229417219758,-0.018816493451595306,-0.0058240885846316814,-0.7624089121818542,-0.008132288232445717,0.12008004635572433,-0.0006487882928922772,0.045700084418058395,-0.013805541209876537,-0.3264898657798767,-0.0030714168678969145,-0.001268016523681581,0.028271017596125603,-0.0035765892826020718,-6.837684486526996e-05,-0.001480908365920186,-0.0024812393821775913,-1.1927367448806763,0.04565807431936264,0.4040297865867615,16.04535484313965,0.009999999776482582,-0.0068793282844126225,8.601123809814453,0.7453405857086182,0.10508894920349121,115593.0,0.5018672347068787,131.3300018310547,12.494253158569336,-44.876705169677734,-3.1234073638916016
6,-0.6395365595817566,-0.03467489778995514,-0.051857396960258484,0.07824994623661041,-0.04035867005586624,-2.4644382392580155e-06,-0.0049442108720541,-0.02241879515349865,-0.006972248665988445,-0.8585608005523682,-0.009543512016534805,0.1428525447845459,-0.0008039525127969682,0.053800344467163086,-0.016355466097593307,-0.3849334418773651,-0.003608100116252899,-0.0015063611790537834,0.03487849235534668,-0.005745009984821081,-8.662029722472653e-05,-0.001792390365153551,-0.0029528248123824596,-1.4195528030395508,0.05501499027013779,0.48081278800964355,16.061294555664062,0.009999999776482582,-0.006465163081884384,8.486640930175781,0.7512736320495605,0.1063070297241211,114629.0,0.5024197101593018,157.94000244140625,34.95000076293945,-54.127559661865234,-10.352272987365723
7,-0.740714430809021,-0.039928268641233444,-0.05975338816642761,0.0902499407529831,-0.04691164195537567,-2.6765571874420857e-06,-0.005574879702180624,-0.025848260149359703,-0.008082753047347069,-1.046313762664795,-0.010949632152915001,0.16431088745594025,-0.0008772604051046073,0.06245725601911545,-0.018750764429569244,-0.5807017087936401,-0.004168420098721981,-0.001741990796290338,0.0386330708861351,-0.006417239084839821,-9.796630183700472e-05,-0.002096329815685749,-0.0034215650521218777,-1.641689658164978,0.06207643076777458,0.5467145442962646,16.082765579223633,0.009999999776482582,-0.00652471836656332,8.498069763183594,0.7451996803283691,0.10502767562866211,115620.0,0.5026150345802307,180.33999633789062,56.279998779296875,-63.90242004394531,-16.906497955322266
8,-0.8016365766525269,-0.04345685988664627,-0.06503468751907349,0.09779159724712372,-0.0495825819671154,-2.8887861844850704e-06,-0.006061838008463383,-0.028009533882141113,-0.008708357810974121,-1.0363783836364746,-0.011832110583782196,0.17877423763275146,-0.0009808928007259965,0.06743283569812775,-0.020385323092341423,-0.48703140020370483,-0.004541635978966951,-0.0018858182011172175,0.045369263738393784,-0.0073707918636500835,-0.0001077195192920044,-0.0021926453337073326,-0.0036979771684855223,-1.7755769491195679,0.07050319015979767,0.5846259593963623,16.101699829101562,0.009999999776482582,-0.006801814306527376,8.458556175231934,0.7532241344451904,0.10490107536315918,114556.0,0.502896785736084,201.9600067138672,85.41000366210938,-69.39314270019531,-27.701534271240234
9,-0.9397518038749695,-0.05094973370432854,-0.07639975100755692,0.11424992978572845,-0.059971924871206284,-3.390541223780019e-06,-0.0071009499952197075,-0.03296485170722008,-0.01027032732963562,-1.2483861446380615,-0.013794618658721447,0.209212988615036,-0.0011062959674745798,0.07891540229320526,-0.02377905324101448,-0.6244792938232422,-0.005353664979338646,-0.0022066286765038967,0.053423088043928146,-0.007727281656116247,-0.00012274993059691042,-0.002682552207261324,-0.0043462421745061874,-2.0817582607269287,0.07973965257406235,0.7064384818077087,16.107540130615234,0.009999999776482582,-0.006196380592882633,7.943210124969482,0.7566440105438232,0.10472702980041504,114125.0,0.5034430623054504,229.50999450683594,131.3300018310547,-79.79176330566406,-44.876705169677734
