step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934088200330734,-0.0026205822359770536,-0.0037576723843812943,0.006125000771135092,-0.0025208466686308384,-1.1264641841535195e-07,-0.0003609678824432194,-0.0015318350633606315,-0.00045195966958999634,-0.06176454946398735,-0.0008985119638964534,0.009964292868971825,-4.718288982985541e-05,0.004025071859359741,-0.0013319248100742698,-0.0028047598898410797,-0.00022002744663041085,-0.00010314275277778506,-0.00011331138375680894,-5.699255325453123e-06,-0.00010515126632526517,-0.0001964376715477556,-0.09610903263092041,0.004517395980656147,0.03724947199225426,15.940061569213867,0.001500000013038516,-0.006914865225553513,7.224698543548584,5.565957069396973,0.2732987403869629,16835.0,0.49952906370162964,12.494253158569336,,-3.149782657623291,
1,-0.13337188959121704,-0.0074905408546328545,-0.011080521158874035,0.01679166406393051,-0.0076541174203157425,-4.438836072040431e-07,-0.0010178901720792055,-0.004694339819252491,-0.0014269838575273752,-0.1822701394557953,-0.0022150655277073383,0.029494738206267357,-0.00015769165474921465,0.011538485996425152,-0.003511532209813595,-0.028407584875822067,-0.0007147992728278041,-0.00031224620761349797,-0.0006406980101019144,-1.747358328429982e-05,-0.00032385176746174693,-0.000605538603849709,-0.2943612039089203,0.012291795574128628,0.10463039577007294,15.979079246520996,0.005062500014901161,-0.006677157711237669,9.186856269836426,0.6888997554779053,0.10475683212280273,123862.0,0.5004150867462158,34.95000076293945,,-10.5086088180542,
2,-0.2309989631175995,-0.01256589125841856,-0.01869545504450798,0.028770819306373596,-0.014526179060339928,-8.575079277761688e-07,-0.0017991694621741772,-0.008013388141989708,-0.0024836957454681396,-0.325912207365036,-0.003589206375181675,0.051748793572187424,-0.0002774914028123021,0.01960102468729019,-0.006063605658710003,-0.059730447828769684,-0.0013168808072805405,-0.0005405978299677372,-0.0012670847354456782,-3.069233935093507e-05,-0.0006227147532626987,-0.001063518226146698,-0.5085688829421997,0.020236294716596603,0.1761332005262375,16.022737503051758,0.007593750022351742,-0.006663650739938021,9.532840728759766,0.6934902667999268,0.10513138771057129,123092.0,0.50114905834198,56.279998779296875,,-17.35284423828125,
3,-0.34254711866378784,-0.018710967153310776,-0.02793775498867035,0.042249977588653564,-0.0218962412327528,-1.2252139640622772e-06,-0.0026175091043114662,-0.01193577703088522,-0.0036929151974618435,-0.47417205572128296,-0.00534547446295619,0.07601439952850342,-0.00042381774983368814,0.02890492044389248,-0.008870859630405903,-0.14131593704223633,-0.0019214082276448607,-0.0008045075228437781,-0.002638137899339199,-4.492462903726846e-05,-0.0009569485555402935,-0.0015709286089986563,-0.7575339078903198,0.030162476003170013,0.26157206296920776,16.047819137573242,0.009999999776482582,-0.005771659780293703,9.221793174743652,0.7021245956420898,0.10466456413269043,121845.0,0.5014874935150146,85.41000366210938,,-28.085407257080078,
4,-0.4410998821258545,-0.024007616564631462,-0.03582814335823059,0.05424996837973595,-0.02769237384200096,-1.5862140116951196e-06,-0.0034704969730228186,-0.015432100743055344,-0.004786510020494461,-0.6355931162834167,-0.006754208356142044,0.09806372970342636,-0.0005320672644302249,0.03695107623934746,-0.011435821652412415,-0.2549682855606079,-0.002450652187690139,-0.0010375035926699638,-0.0028129275888204575,-5.725372466258705e-05,-0.0012568156234920025,-0.002033389173448086,-0.9767324328422546,0.0366530567407608,0.32150790095329285,16.067068099975586,0.009999999776482582,-0.006670727394521236,9.292057037353516,0.7013702392578125,0.10458087921142578,121972.0,0.5019105672836304,108.3499984741211,,-37.57674026489258,
5,-0.5391755104064941,-0.02926493249833584,-0.04374024271965027,0.06624995917081833,-0.03320001810789108,-1.8433987634125515e-06,-0.004238358698785305,-0.018874086439609528,-0.005843356251716614,-0.7513498067855835,-0.00823940895497799,0.11988553404808044,-0.0006771319312974811,0.045856159180402756,-0.013762187212705612,-0.3088845908641815,-0.0031102083157747984,-0.0012691038427874446,-0.0036638714373111725,-6.905473856022581e-05,-0.001476575038395822,-0.002488815924152732,-1.1937298774719238,0.045448899269104004,0.4029640555381775,16.083772659301758,0.009999999776482582,-0.006590890232473612,8.903679847717285,0.7075612545013428,0.10567617416381836,120879.0,0.5024329423904419,131.3300018310547,12.494253158569336,-45.76890182495117,-3.149782657623291
6,-0.6400030851364136,-0.03474600985646248,-0.05196642875671387,0.07824994623661041,-0.04015280306339264,-2.3539012090623146e-06,-0.004933892283588648,-0.022457612678408623,-0.006981441285461187,-0.8600916862487793,-0.009504012763500214,0.14244240522384644,-0.000784051138907671,0.05387967824935913,-0.016333429142832756,-0.36525699496269226,-0.0036204447969794273,-0.0015071770176291466,-0.005754807032644749,-8.470459579257295e-05,-0.0017916009528562427,-0.002955036237835884,-1.4204928874969482,0.05485835671424866,0.4820011854171753,16.09392738342285,0.009999999776482582,-0.006566327065229416,8.801353454589844,0.7018625736236572,0.10478997230529785,121866.0,0.503012478351593,157.94000244140625,34.95000076293945,-54.10625076293945,-10.5086088180542
7,-0.7414206266403198,-0.040017541497945786,-0.05988496541976929,0.0902499407529831,-0.04706267639994621,-2.585842139524175e-06,-0.005575267598032951,-0.02589978091418743,-0.008090651594102383,-1.048446774482727,-0.010941749438643456,0.1637929379940033,-0.0008893515914678574,0.062120452523231506,-0.018844321370124817,-0.6046578288078308,-0.00418710894882679,-0.0017439783550798893,-0.006491119973361492,-9.761458932189271e-05,-0.0021185479126870632,-0.003424552036449313,-1.6437681913375854,0.06259927898645401,0.5471311807632446,16.119176864624023,0.009999999776482582,-0.006263197399675846,8.719236373901367,0.700401782989502,0.10059094429016113,122727.0,0.5034162402153015,180.33999633789062,56.279998779296875,-65.05525207519531,-17.35284423828125
8,-0.80238938331604,-0.04355479031801224,-0.06517907977104187,0.09779159724712372,-0.04972296953201294,-2.8304075385676697e-06,-0.006047113798558712,-0.02802790328860283,-0.00870947539806366,-1.0317546129226685,-0.011852346360683441,0.17845511436462402,-0.0009677418856881559,0.06751501560211182,-0.0203624926507473,-0.5046021342277527,-0.004539068788290024,-0.001888863742351532,-0.0069224657490849495,-0.00010629257303662598,-0.0022293785586953163,-0.0036946784239262342,-1.7804174423217773,0.07059144973754883,0.5816279053688049,16.129470825195312,0.009999999776482582,-0.005954917054623365,8.338418960571289,0.6976914405822754,0.10390853881835938,122634.0,0.5035529732704163,201.9600067138672,85.41000366210938,-70.03006744384766,-28.085407257080078
9,-0.939349889755249,-0.05107876658439636,-0.07658850401639938,0.11424992978572845,-0.060380928218364716,-3.4957793104695156e-06,-0.0070141456089913845,-0.03304784744977951,-0.010264188051223755,-1.2210381031036377,-0.013753501698374748,0.2091190665960312,-0.001108104712329805,0.07854457944631577,-0.023882057517766953,-0.5777608156204224,-0.005366645287722349,-0.002207876881584525,-0.007612753193825483,-0.00012356640945654362,-0.0027975477278232574,-0.0043506864458322525,-2.0822548866271973,0.08103951811790466,0.705241858959198,16.150577545166016,0.009999999776482582,-0.006319152191281319,7.83823299407959,0.707188606262207,0.10409021377563477,121171.0,0.5037118196487427,229.50999450683594,131.3300018310547,-79.6016845703125,-45.76890182495117
