step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934088200330734,-0.0026205822359770536,-0.0037576723843812943,0.006125000771135092,-0.0025208466686308384,-3.7548807085840963e-07,-0.0003609678824432194,-0.0015318350633606315,-0.00045195966958999634,-0.06176454946398735,-0.0008985119638964534,0.004884123802185059,-0.00013548845890909433,0.004025071859359741,-0.0013319248100742698,-0.0028047598898410797,-0.00022002744663041085,-0.00010314275277778506,-0.00011331138375680894,-5.699255325453123e-06,-0.00010515126632526517,-0.0001964376715477556,-0.09610903263092041,0.004517395980656147,0.03724947199225426,15.942537307739258,0.001500000013038516,-0.006825033109635115,7.662115097045898,6.394008636474609,0.3179795742034912,14646.0,0.49961692094802856,12.494253158569336,,-3.2537424564361572,
1,-0.1334647238254547,-0.007491532247513533,-0.011081915348768234,0.01679166406393051,-0.0076596918515861034,-1.487812710365688e-06,-0.0010162265971302986,-0.004694631323218346,-0.0014275896828621626,-0.1824316680431366,-0.002231873106211424,0.014541047625243664,-0.0004657291283365339,0.011542288586497307,-0.0035104756243526936,-0.02845352701842785,-0.0007145749405026436,-0.00031227883300743997,-0.0006394365336745977,-1.744011569826398e-05,-0.0003237942873965949,-0.0006054564728401601,-0.2944200932979584,0.012266884557902813,0.1046505719423294,15.983061790466309,0.005062500014901161,-0.0066209896467626095,9.668456077575684,1.3898556232452393,0.14989733695983887,63844.0,0.5004377961158752,34.95000076293945,,-10.832402229309082,
2,-0.2309838980436325,-0.012567865662276745,-0.018698370084166527,0.028770819306373596,-0.014606961980462074,-2.8402071166055975e-06,-0.0018079126020893455,-0.008012187667191029,-0.002483476884663105,-0.32270437479019165,-0.0036199227906763554,0.0256475992500782,-0.0008466605795547366,0.019564185291528702,-0.006073838099837303,-0.06024765223264694,-0.0013178627705201507,-0.0005407789722084999,-0.001261725090444088,-3.0648028769064695e-05,-0.0006279721856117249,-0.001063353382050991,-0.5085338354110718,0.020014038309454918,0.17635130882263184,16.02874183654785,0.007593750022351742,-0.006573386024683714,9.988862037658691,1.41815185546875,0.15072131156921387,62658.0,0.5013594627380371,56.279998779296875,,-17.90945816040039,
3,-0.34255093336105347,-0.01871481165289879,-0.027942676097154617,0.042249977588653564,-0.022128403186798096,-4.125735813431675e-06,-0.002595859579741955,-0.011939252726733685,-0.0036945014726370573,-0.462213933467865,-0.005321994423866272,0.03769279643893242,-0.001267400337383151,0.02887754701077938,-0.008878464810550213,-0.13702420890331268,-0.0019237881060689688,-0.0008047653245739639,-0.0026101749390363693,-4.468941915547475e-05,-0.0009766807779669762,-0.0015722059179097414,-0.7584719061851501,0.03068217635154724,0.2621505856513977,16.048383712768555,0.009999999776482582,-0.005974064115434885,9.570218086242676,1.4001102447509766,0.10945439338684082,65120.0,0.5016509890556335,85.41000366210938,,-28.5105037689209,
4,-0.44117099046707153,-0.02401566319167614,-0.03584078699350357,0.05424996837973595,-0.027758710086345673,-5.195999619900249e-06,-0.003561413614079356,-0.015415768139064312,-0.004780441522598267,-0.6395873427391052,-0.0067793200723826885,0.048493705689907074,-0.0015825710725039244,0.03688524290919304,-0.011454109102487564,-0.24972614645957947,-0.0024470218922942877,-0.0010369732044637203,-0.0027677626349031925,-5.710006371373311e-05,-0.0012343190610408783,-0.0020323353819549084,-0.9761108160018921,0.03648367151618004,0.3222920894622803,16.06981658935547,0.009999999776482582,-0.006605586968362331,9.851003646850586,0.8560934066772461,0.2738220691680908,87001.0,0.5018094778060913,108.3499984741211,,-38.42456817626953,
5,-0.5385689735412598,-0.029270023107528687,-0.04375023767352104,0.06624995917081833,-0.033108796924352646,-6.196132289915113e-06,-0.004235219210386276,-0.018859006464481354,-0.0058297268114984035,-0.7691011428833008,-0.008212987333536148,0.05926927179098129,-0.0019920223858207464,0.04573812335729599,-0.0137949762865901,-0.31469646096229553,-0.0030868712347000837,-0.001269883243367076,-0.003634416963905096,-6.83241814840585e-05,-0.0014785288367420435,-0.0024861502461135387,-1.1946158409118652,0.04564625024795532,0.40384697914123535,16.072124481201172,0.009999999776482582,-0.0065522328950464725,9.37313461303711,1.1914000511169434,0.265963077545166,67453.0,0.5022397041320801,131.3300018310547,,-47.04432678222656,
6,-0.6398553848266602,-0.0347469188272953,-0.05197129771113396,0.07824994623661041,-0.04003419727087021,-7.864417057135142e-06,-0.0049293553456664085,-0.022450489923357964,-0.006969243288040161,-0.8489255309104919,-0.009595493786036968,0.0703614354133606,-0.002351721515879035,0.05341305956244469,-0.01646304503083229,-0.35732874274253845,-0.0036059049889445305,-0.0015071295201778412,-0.0056150141172111034,-8.430726302322e-05,-0.0017936783842742443,-0.002952944254502654,-1.421268343925476,0.05523525923490524,0.48139604926109314,16.083452224731445,0.009999999776482582,-0.0064028725028038025,9.312191009521484,0.755814790725708,0.10771322250366211,113839.0,0.5027900338172913,157.94000244140625,12.494253158569336,-55.63565444946289,-3.2537424564361572
7,-0.7410599589347839,-0.04002109915018082,-0.059898100793361664,0.0902499407529831,-0.046386800706386566,-8.724799045012332e-06,-0.0056604123674333096,-0.025875583291053772,-0.008068555034697056,-1.0427424907684326,-0.010950642637908459,0.08094050735235214,-0.0026725351344794035,0.0619945153594017,-0.018879303708672523,-0.607209324836731,-0.004172224551439285,-0.0017431757878512144,-0.006526078563183546,-9.819248225539923e-05,-0.0020917351357638836,-0.0034175007604062557,-1.6442573070526123,0.062119778245687485,0.5473840236663818,16.11007308959961,0.009999999776482582,-0.006274357903748751,9.25950813293457,0.8303050994873047,0.10551595687866211,105045.0,0.5031078457832336,180.33999633789062,,-66.44776916503906,
8,-0.8019334077835083,-0.04355568811297417,-0.06518574804067612,0.09779159724712372,-0.0495905727148056,-9.358975148643367e-06,-0.006040611770004034,-0.028042204678058624,-0.008693581447005272,-1.033707857131958,-0.01185221504420042,0.08818432688713074,-0.002875823061913252,0.06737008690834045,-0.020402751863002777,-0.48172125220298767,-0.004508609883487225,-0.0018872767686843872,-0.006755126174539328,-0.00010615968494676054,-0.002219782443717122,-0.003688772674649954,-1.7787864208221436,0.07101179659366608,0.5820018649101257,16.121444702148438,0.009999999776482582,-0.006659310776740313,8.851419448852539,1.3769335746765137,0.2669205665588379,59800.0,0.5029975771903992,201.9600067138672,34.95000076293945,-71.99913024902344,-10.832402229309082
9,-0.9390374422073364,-0.05108330771327019,-0.07660599797964096,0.11424992978572845,-0.059487950056791306,-1.1335868293826934e-05,-0.007185233291238546,-0.03302229940891266,-0.010245397686958313,-1.2440708875656128,-0.013667451217770576,0.10326263308525085,-0.003373323008418083,0.07876275479793549,-0.023821450769901276,-0.6070960164070129,-0.005317650269716978,-0.002208591205999255,-0.007477351929992437,-0.00012309206067584455,-0.00272328220307827,-0.004345349036157131,-2.0826659202575684,0.08069343864917755,0.7045771479606628,16.11832046508789,0.009999999776482582,-0.005307537037879229,8.280560493469238,1.6688406467437744,0.216705322265625,52135.0,0.503680944442749,229.50999450683594,56.279998779296875,-83.52651977539062,-17.90945816040039
