step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.11277234554290771,-0.00646735355257988,0.006125000771135092,-0.002318004611879587,-8.240705824391625e-07,-8.05118033895269e-05,-0.0004486518446356058,0.000693414593115449,0.004341750405728817,-0.0012439584825187922,-0.00011559294944163412,-0.00010188124724663794,-6.227816811588127e-06,-8.9298453531228e-05,-0.0009785107104107738,0.005420750938355923,0.01213605236262083,15.970409393310547,0.001500000013038516,-0.006055483128875494,2.1669809818267822,3.3847076892852783,0.26700711250305176,26919.0,0.4999808371067047,12.494253158569336,,-1.9368698596954346,
1,-0.33541083335876465,-0.018290763720870018,0.01679166406393051,-0.008118093013763428,-3.038474460481666e-06,-0.0002285521331941709,-0.0014413201715797186,0.0020664860494434834,0.011437788605690002,-0.0035395033191889524,-0.00036672974238172174,-0.00030904822051525116,-1.7330152331851423e-05,-0.00037405730108730495,-0.0030587331857532263,0.012937500141561031,0.033995628356933594,15.985220909118652,0.003375000087544322,-0.005456372629851103,2.2278547286987305,0.6026134490966797,0.10515189170837402,138893.0,0.5003505945205688,34.95000076293945,,-6.099162578582764,
2,-0.5881593227386475,-0.0316307432949543,0.028770819306373596,-0.015216085128486156,-5.67314236832317e-06,-0.0003761461703106761,-0.0025380514562129974,0.0036076102405786514,0.019688133150339127,-0.006039408966898918,-0.0006627239054068923,-0.0005360532086342573,-3.001083678100258e-05,-0.0006573518039658666,-0.005311145447194576,0.02243978902697563,0.0568339042365551,16.007587432861328,0.007593750022351742,-0.0041497680358588696,2.1514875888824463,0.6107203960418701,0.1042335033416748,137496.0,0.5003600120544434,56.279998779296875,,-10.129176139831543,
3,-0.8693787455558777,-0.046411097049713135,0.042249977588653564,-0.02254224382340908,-8.260094546130858e-06,-0.0005442368565127254,-0.003792661242187023,0.005331350024789572,0.02916382998228073,-0.008798941038548946,-0.0009747596341185272,-0.0007950067520141602,-4.475969763007015e-05,-0.0009915607515722513,-0.007949543185532093,0.032978128641843796,0.08997111767530441,16.010360717773438,0.009999999776482582,-0.005578919779509306,1.893613338470459,0.610673189163208,0.10404062271118164,137543.0,0.5007112622261047,85.41000366210938,12.494253158569336,-15.475229263305664,-1.9368698596954346
4,-1.1180933713912964,-0.05972380191087723,0.05424996837973595,-0.028792081400752068,-1.0860436304938048e-05,-0.0007220371626317501,-0.0049036648124456406,0.006903877016156912,0.03726667910814285,-0.01134815439581871,-0.0012647532857954502,-0.001026413170620799,-5.869928281754255e-05,-0.00131888291798532,-0.010319745168089867,0.040145739912986755,0.1058671697974205,16.036027908325195,0.009999999776482582,-0.006131679285317659,1.9915237426757812,0.6137819290161133,0.10429954528808594,136898.0,0.5010164380073547,108.3499984741211,34.95000076293945,-19.75556182861328,-6.099162578582764
5,-1.3723413944244385,-0.07307713478803635,0.06624995917081833,-0.0355779230594635,-1.359058660455048e-05,-0.0008648921502754092,-0.006042724475264549,0.00842785369604826,0.04593585431575775,-0.013740050606429577,-0.001577585469931364,-0.001255441689863801,-7.090732106007636e-05,-0.0015879001002758741,-0.012639427557587624,0.0477440170943737,0.13161927461624146,16.046281814575195,0.009999999776482582,-0.006116436328738928,1.6953665018081665,0.6131980419158936,0.10373663902282715,137117.0,0.5012733340263367,131.3300018310547,85.41000366210938,-24.09949493408203,-15.475229263305664
6,-1.6266626119613647,-0.08646216243505478,0.07824994623661041,-0.042009495198726654,-1.5909761714283377e-05,-0.0010153527837246656,-0.00717181246727705,0.00997184868901968,0.05381425470113754,-0.016351601108908653,-0.0018360463436692953,-0.001488991780206561,-8.367661212105304e-05,-0.0018457126570865512,-0.015000289306044579,0.056233879178762436,0.1600460708141327,16.026165008544922,0.009999999776482582,-0.006433252710849047,1.6710141897201538,0.6145200729370117,0.10503435134887695,136617.0,0.5013284683227539,157.94000244140625,108.3499984741211,-29.134777069091797,-19.75556182861328
7,-1.878172755241394,-0.09964001178741455,0.0902499407529831,-0.047441691160202026,-1.875919770100154e-05,-0.0011994908563792706,-0.008306196890771389,0.011502008885145187,0.06222694739699364,-0.01881473883986473,-0.002157195471227169,-0.0017177625559270382,-9.726816642796621e-05,-0.0021511451341211796,-0.017332062125205994,0.06582005321979523,0.17905369400978088,16.02090072631836,0.009999999776482582,-0.006333060562610626,1.6541415452957153,0.6058411598205566,0.10343813896179199,138597.0,0.5009365677833557,180.33999633789062,157.94000244140625,-33.260311126708984,-29.134777069091797
8,-2.030789852142334,-0.10780686140060425,0.09779159724712372,-0.052486538887023926,-2.039117316599004e-05,-0.0013016266748309135,-0.008974272757768631,0.012511160224676132,0.06774577498435974,-0.020298395305871964,-0.0023009320721030235,-0.0018646414391696453,-0.00010240256960969418,-0.0023291166871786118,-0.01873612403869629,0.07012837380170822,0.1972626894712448,16.003515243530273,0.009999999776482582,-0.006916109472513199,1.5432919263839722,0.612328290939331,0.10395121574401855,137242.0,0.5009444355964661,201.9600067138672,180.33999633789062,-37.12342834472656,-33.260311126708984
9,-2.3830440044403076,-0.12611249089241028,0.11424992978572845,-0.06263060867786407,-2.4287857741001062e-05,-0.0015048671048134565,-0.010585653595626354,0.014616364613175392,0.07897362112998962,-0.02376287803053856,-0.0027455450035631657,-0.0021870469208806753,-0.00012415678065735847,-0.00279796589165926,-0.022057611495256424,0.08284476399421692,0.22973601520061493,16.00006103515625,0.009999999776482582,-0.006125061307102442,1.2759737968444824,0.612971305847168,0.10419940948486328,137071.0,0.500659704208374,229.50999450683594,201.9600067138672,-42.65019607543945,-37.12342834472656
