step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.044069554656744,-0.002620505867525935,0.006125000771135092,-0.0025692912749946117,-3.739554585990845e-07,-7.303390157176182e-05,-0.001530845183879137,-0.00045233414857648313,0.000670923269353807,-0.00013285386376082897,0.004048982635140419,-0.001325282733887434,-0.0002200253657065332,-0.00010305115574738011,-5.776410034741275e-06,-0.00010513770394027233,-0.00019635311036836356,-0.0066362544894218445,0.004551250487565994,0.03406672179698944,15.842573165893555,0.001500000013038516,-0.00833195447921753,0.04056238755583763,5.969252586364746,0.2889270782470703,15708.0,0.4974716901779175,12.494253158569336,,-0.21496175229549408,
1,-0.13264402747154236,-0.0074639893136918545,0.01679166406393051,-0.007550468202680349,-1.4687933571622125e-06,-0.00020986747404094785,-0.004675488919019699,-0.0014196110423654318,0.0020080595277249813,-0.0004579068045131862,0.011627699248492718,-0.003486750414595008,-0.0007101291557773948,-0.00031203823164105415,-1.7650139852776192e-05,-0.0003228995483368635,-0.000604502740316093,-0.020279277116060257,0.011968548409640789,0.09661208093166351,15.78585433959961,0.003375000087544322,-0.007708477787673473,0.04751347377896309,0.7084095478057861,0.10599160194396973,120707.0,0.49596476554870605,34.95000076293945,,-0.8309149742126465,
2,-0.23061804473400116,-0.01245463639497757,0.028770819306373596,-0.014338570646941662,-2.752474756562151e-06,-0.0003538726014085114,-0.007936391979455948,-0.002476336434483528,0.003484555287286639,-0.0008209212683141232,0.019711755216121674,-0.006032845936715603,-0.001303885132074356,-0.0005388353019952774,-3.0177796361385845e-05,-0.0006069765659049153,-0.001060593407601118,-0.03495357930660248,0.020037777721881866,0.1618068516254425,15.686551094055176,0.005062500014901161,-0.007748231291770935,0.04113638773560524,0.7190003395080566,0.10425424575805664,119408.0,0.49318695068359375,56.279998779296875,,-1.5179970264434814,
3,-0.3408445715904236,-0.0184408538043499,0.042249977588653564,-0.02177293412387371,-4.071539478900377e-06,-0.0005242418264970183,-0.011762214824557304,-0.003671344369649887,0.005145383067429066,-0.0012490509543567896,0.029057767242193222,-0.008828403428196907,-0.0019090621499344707,-0.0008008573204278946,-4.3812760850414634e-05,-0.0009544487111270428,-0.0015652189031243324,-0.05196068435907364,0.02959207072854042,0.2464706301689148,15.594562530517578,0.007593750022351742,-0.007894802838563919,0.03632702678442001,0.7161986827850342,0.1040194034576416,119851.0,0.491829514503479,85.41000366210938,,-2.3412423133850098,
4,-0.4387139678001404,-0.0235205739736557,0.05424996837973595,-0.026642940938472748,-4.976516265742248e-06,-0.0007007368840277195,-0.015108980238437653,-0.004732300993055105,0.0066024321131408215,-0.001566623104736209,0.037159472703933716,-0.011377934366464615,-0.0024081477895379066,-0.0010296651162207127,-5.70810807403177e-05,-0.0011666577775031328,-0.0020162290893495083,-0.06677776575088501,0.036608681082725525,0.2897835373878479,15.553656578063965,0.009999999776482582,-0.007236551493406296,0.03996386006474495,0.7174067497253418,0.10460019111633301,119590.0,0.49121031165122986,108.3499984741211,,-3.1525638103485107,
5,-0.5350558757781982,-0.028531286865472794,0.06624995917081833,-0.03174795210361481,-6.020943601470208e-06,-0.0008406906854361296,-0.01836775615811348,-0.005764123052358627,0.008106842637062073,-0.001939130830578506,0.04602605104446411,-0.013714995235204697,-0.0030454006046056747,-0.0012577241286635399,-6.941195169929415e-05,-0.001412680372595787,-0.002467113547027111,-0.0813397467136383,0.04420866817235947,0.371105432510376,15.479438781738281,0.009999999776482582,-0.008260427042841911,0.026876917108893394,0.7184550762176514,0.10533809661865234,119330.0,0.4897324740886688,131.3300018310547,,-3.7965943813323975,
6,-0.634171724319458,-0.033721283078193665,0.07824994623661041,-0.038801196962594986,-7.589793312945403e-06,-0.0009705419652163982,-0.021753903478384018,-0.006860371679067612,0.009595919400453568,-0.002296986524015665,0.054510802030563354,-0.01615811698138714,-0.0035402707289904356,-0.0014908674638718367,-8.524212171323597e-05,-0.0017167648766189814,-0.0029198480769991875,-0.09660075604915619,0.05371437966823578,0.448070228099823,15.373357772827148,0.009999999776482582,-0.00899128895252943,0.03053484670817852,0.7158725261688232,0.10048675537109375,120417.0,0.4876888394355774,157.94000244140625,12.494253158569336,-4.449706554412842,-0.21496175229549408
7,-0.7332881689071655,-0.038674306124448776,0.0902499407529831,-0.044048111885786057,-8.31045053928392e-06,-0.001101769390515983,-0.024981742724776268,-0.00794332567602396,0.011066870763897896,-0.002602305728942156,0.06291192770004272,-0.01862446777522564,-0.004090513568371534,-0.0017228544456884265,-9.39974415814504e-05,-0.001993460115045309,-0.003383547067642212,-0.11150282621383667,0.060149163007736206,0.5017241835594177,15.296093940734863,0.009999999776482582,-0.007958768866956234,0.025982985273003578,0.7179639339447021,0.09898734092712402,120330.0,0.4859435558319092,180.33999633789062,56.279998779296875,-4.916056156158447,-1.5179970264434814
8,-0.792680025100708,-0.041892945766448975,0.09779159724712372,-0.04713647812604904,-9.063631296157837e-06,-0.0011775621678680182,-0.026872307062149048,-0.008515269495546818,0.011970136314630508,-0.00282132881693542,0.06808552145957947,-0.020204022526741028,-0.004426057916134596,-0.001857395051047206,-0.000104023318272084,-0.002083122730255127,-0.0036424114368855953,-0.12006913125514984,0.06994539499282837,0.5320076942443848,15.23900318145752,0.009999999776482582,-0.008309789001941681,0.02618950605392456,0.7188417911529541,0.10164499282836914,119811.0,0.48444992303848267,201.9600067138672,85.41000366210938,-5.789558410644531,-2.3412423133850098
9,-0.9261349439620972,-0.048903774470090866,0.11424992978572845,-0.05557718127965927,-1.0783107427414507e-05,-0.0013864565407857299,-0.031486526131629944,-0.0099928118288517,0.013983066193759441,-0.003265474457293749,0.08041176944971085,-0.023363392800092697,-0.005190055817365646,-0.0021705308463424444,-0.00012103447079425678,-0.002497718669474125,-0.004275070037692785,-0.14018480479717255,0.07837213575839996,0.6613105535507202,15.161515235900879,0.009999999776482582,-0.008213977329432964,0.026823122054338455,0.7295742034912109,0.1051790714263916,117764.0,0.4826827943325043,229.50999450683594,108.3499984741211,-6.221065521240234,-3.1525638103485107
