step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04279395192861557,-0.002539140172302723,-0.0036409473977983,0.0058750007301568985,-0.0022615045309066772,-9.529291844501131e-08,-0.0003359709808137268,-0.0014298800379037857,-0.0004292170924600214,-0.061644088476896286,-0.0008895445498637855,0.00946296751499176,-0.00017998911789618433,0.003956229891628027,-0.0012510474771261215,-0.0026358067989349365,-0.000205805801670067,-9.816348028834909e-05,0.0008804155513644218,-7.701286813244224e-05,-5.302837962517515e-06,-9.261329978471622e-05,-0.00018879538401961327,-0.09098312258720398,0.00340772932395339,0.0387890487909317,15.977837562561035,0.001500000013038516,-0.00700544286519289,7.554769515991211,5.438352584838867,0.2790489196777344,17193.0,0.5002553462982178,14.710000038146973,,-3.878051996231079,
1,-0.14530660212039948,-0.007982181385159492,-0.011773170903325081,0.0182499960064888,-0.008315738290548325,-4.164487279467721e-07,-0.0010551593732088804,-0.004929220769554377,-0.0015542786568403244,-0.21375271677970886,-0.0024601693730801344,0.03181638568639755,-0.0007563879480585456,0.01246925350278616,-0.003836318850517273,-0.026155030354857445,-0.0008226287318393588,-0.00033535592956468463,0.003915703855454922,-0.0005232116091065109,-1.7887916328618303e-05,-0.0003644766693469137,-0.0006739284144714475,-0.31385537981987,0.009778721258044243,0.11174675077199936,15.972262382507324,0.005062500014901161,-0.006569037213921547,9.291532516479492,0.7407302856445312,0.09953594207763672,116991.0,0.4996889531612396,35.29999923706055,,-10.64795970916748,
2,-0.24665038287639618,-0.013285222463309765,-0.019739219918847084,0.030249986797571182,-0.014725933782756329,-7.821058716217522e-07,-0.001855790033005178,-0.008383153937757015,-0.0026506264694035053,-0.36446985602378845,-0.003808940527960658,0.05409643054008484,-0.0012883814051747322,0.02082592248916626,-0.006315021775662899,-0.08780574798583984,-0.0013293828815221786,-0.0005659571615979075,0.007138200104236603,-0.0013462280621752143,-3.10558571072761e-05,-0.0006613220903091133,-0.0011263333726674318,-0.5287392139434814,0.016316253691911697,0.17329451441764832,15.974997520446777,0.007593750022351742,-0.0059821754693984985,9.820976257324219,0.7481100559234619,0.1047666072845459,115261.0,0.5001140236854553,59.869998931884766,,-19.724210739135742,
3,-0.33211979269981384,-0.017761413007974625,-0.02647249959409237,0.04033331200480461,-0.01935119554400444,-1.0287985787726939e-06,-0.002469642786309123,-0.011244244873523712,-0.0035785797517746687,-0.48121699690818787,-0.004967039916664362,0.07267387211322784,-0.0017720477189868689,0.028005188331007957,-0.008354119956493378,-0.11474919319152832,-0.0018268183339387178,-0.0007584399427287281,0.010319149121642113,-0.001557192183099687,-4.145111233810894e-05,-0.0009179275366477668,-0.0015338826924562454,-0.7106313705444336,0.021289465948939323,0.24034082889556885,15.982735633850098,0.009999999776482582,-0.005407185293734074,9.993656158447266,0.7449634075164795,0.0974736213684082,116690.0,0.5003675222396851,81.30999755859375,,-27.301259994506836,
4,-0.42813223600387573,-0.022820597514510155,-0.03403083607554436,0.05181246995925903,-0.027256160974502563,-1.433263946637453e-06,-0.0031589223071932793,-0.014566831290721893,-0.004672292619943619,-0.6170022487640381,-0.006322599481791258,0.09358777105808258,-0.0022586886771023273,0.03556505963206291,-0.01084582507610321,-0.20397047698497772,-0.002442591357976198,-0.000979964155703783,0.013190790079534054,-0.0030019560363143682,-5.485411384142935e-05,-0.0012869539204984903,-0.0019779913127422333,-0.9165126085281372,0.02740330621600151,0.31168121099472046,16.008316040039062,0.009999999776482582,-0.006883540656417608,9.629895210266113,0.7467868328094482,0.09813761711120605,116346.0,0.5006915330886841,107.68000030517578,,-36.72284698486328,
5,-0.5483280420303345,-0.02915131114423275,-0.04353046417236328,0.06624995917081833,-0.033806830644607544,-1.8312402971787378e-06,-0.004125123843550682,-0.018663812428712845,-0.005965277086943388,-0.7687911987304688,-0.008155625313520432,0.12023511528968811,-0.0028898962773382664,0.0453929528594017,-0.013890856876969337,-0.2849395275115967,-0.0030479689594358206,-0.0012573918793350458,0.018474293872714043,-0.0033938183914870024,-6.952788680791855e-05,-0.0015514073893427849,-0.0025220769457519054,-1.1772434711456299,0.035339437425136566,0.38951659202575684,16.016674041748047,0.009999999776482582,-0.006673515774309635,9.562986373901367,0.7456612586975098,0.09744048118591309,116598.0,0.5010482668876648,133.22999572753906,14.710000038146973,-45.91970443725586,-3.878051996231079
6,-0.6504954695701599,-0.03454982861876488,-0.05158090591430664,0.07824994623661041,-0.03975420445203781,-2.167242200812325e-06,-0.004898035898804665,-0.022218510508537292,-0.007135923486202955,-0.9168919324874878,-0.009344732388854027,0.14260196685791016,-0.0034856200218200684,0.053320907056331635,-0.016488641500473022,-0.36115965247154236,-0.003660699352622032,-0.0014947786694392562,0.021011069416999817,-0.004442601930350065,-8.420448284596205e-05,-0.0018651715945452452,-0.003019756404682994,-1.4024760723114014,0.04130104184150696,0.446341872215271,16.067960739135742,0.009999999776482582,-0.006166940554976463,9.287521362304688,0.7447676658630371,0.09760236740112305,116699.0,0.5016669034957886,154.1999969482422,35.29999923706055,-54.48891067504883,-10.64795970916748
7,-0.7487856149673462,-0.03987201675772667,-0.05961350351572037,0.0902499407529831,-0.04604802653193474,-2.4446512725262437e-06,-0.005609600804746151,-0.025589948520064354,-0.00819826778024435,-1.0604145526885986,-0.011104623787105083,0.16471728682518005,-0.004194733686745167,0.06250264495611191,-0.0187381561845541,-0.4201262891292572,-0.00422159256413579,-0.0017243546899408102,0.024669580161571503,-0.005137346684932709,-9.344727732241154e-05,-0.0021272727753967047,-0.0034846998751163483,-1.6159467697143555,0.048097845166921616,0.5340660214424133,16.08488655090332,0.009999999776482582,-0.006335950456559658,8.936654090881348,0.7451612949371338,0.0991830825805664,116426.0,0.5024374723434448,181.22999572753906,59.869998931884766,-64.42162322998047,-19.724210739135742
8,-0.8492261171340942,-0.04520438611507416,-0.06762933731079102,0.10224992036819458,-0.051940083503723145,-3.1480585676035844e-06,-0.006337265484035015,-0.02901001274585724,-0.009283236227929592,-1.158074140548706,-0.012132684700191021,0.18694961071014404,-0.004782342817634344,0.07097259163856506,-0.021185388788580894,-0.4837895631790161,-0.004738202318549156,-0.001953680766746402,0.02729266695678234,-0.006374788470566273,-0.00010796030983328819,-0.0024954190012067556,-0.0039495485834777355,-1.8315948247909546,0.05702576786279678,0.5984185934066772,16.0985107421875,0.009999999776482582,-0.0061553907580673695,8.52823257446289,0.7434155941009521,0.09915924072265625,116670.0,0.503173291683197,204.97999572753906,81.30999755859375,-71.14067077636719,-27.301259994506836
9,-0.9496623873710632,-0.05050376057624817,-0.07557006925344467,0.11424992978572845,-0.05842837318778038,-3.1732613479107386e-06,-0.007161837071180344,-0.03238489478826523,-0.010423298925161362,-1.3429648876190186,-0.013750940561294556,0.20830896496772766,-0.005141920410096645,0.07846847176551819,-0.023903196677565575,-0.5636422038078308,-0.005347597878426313,-0.0021824450232088566,0.032548580318689346,-0.00704076886177063,-0.00011804484529420733,-0.0027496572583913803,-0.004431473556905985,-2.042971611022949,0.06013522669672966,0.6578444242477417,16.125469207763672,0.009999999776482582,-0.006572062615305185,8.365796089172363,0.7463948726654053,0.09895586967468262,116287.0,0.5035582184791565,228.99000549316406,133.22999572753906,-80.4061508178711,-45.91970443725586
