step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.02238723263144493,-0.0026203463785350323,0.006125000771135092,-0.002526093740016222,-8.107618896247004e-07,-8.019876258913428e-05,-0.0004645726294256747,0.000694887712597847,-0.0001467842812417075,0.0041211433708667755,-0.0013052382273599505,-0.0001138539519160986,-0.00010193543857894838,-5.703068381990306e-06,-0.00010787275095935911,-0.00019789813086390495,0.004712000023573637,0.0311180017888546,15.949260711669922,0.001500000013038516,-0.00642280513420701,0.031934771686792374,5.345232963562012,0.2544736862182617,17555.0,0.49981656670570374,12.494253158569336,,0.33054831624031067,
1,-0.06775664538145065,-0.007489399518817663,0.01679166406393051,-0.007741507142782211,-3.047554400836816e-06,-0.00020881614182144403,-0.0014625145122408867,0.002078504068776965,-0.0005199912702664733,0.011630448512732983,-0.003485986730083823,-0.0003570027183741331,-0.0003080671885982156,-1.6668380339979194e-05,-0.0003316742368042469,-0.0006100914324633777,0.012042558752000332,0.08657269179821014,15.966876983642578,0.003375000087544322,-0.006625945679843426,0.02729295752942562,0.6914610862731934,0.10883021354675293,122835.0,0.4999285638332367,34.95000076293945,,0.8345458507537842,
2,-0.11737372726202011,-0.012551052495837212,0.028770819306373596,-0.01439677458256483,-5.474335466715274e-06,-0.000384151324396953,-0.0025580800138413906,0.003603961318731308,-0.0008884243434295058,0.019900916144251823,-0.005980301648378372,-0.0006762744742445648,-0.0005355816101655364,-3.0005630833329633e-05,-0.0006039938307367265,-0.0010730437934398651,0.02030208520591259,0.14519792795181274,15.960578918457031,0.005062500014901161,-0.00712652038782835,0.023685503751039505,0.6996297836303711,0.10456585884094238,122238.0,0.4995458424091339,56.279998779296875,,1.2285385131835938,
3,-0.17405329644680023,-0.018655352294445038,0.042249977588653564,-0.021893229335546494,-8.417258868576027e-06,-0.0005518050165846944,-0.003800981445237994,0.00533404853194952,-0.001392226666212082,0.029090549796819687,-0.008819296956062317,-0.0009881369769573212,-0.0007954741595312953,-4.3679225200321525e-05,-0.0009724334813654423,-0.0015905722975730896,0.029551472514867783,0.22948895394802094,15.950899124145508,0.007593750022351742,-0.006551658269017935,0.021254317834973335,0.6868793964385986,0.10880184173583984,123546.0,0.49957796931266785,85.41000366210938,,1.9537651538848877,
4,-0.2240617275238037,-0.023872539401054382,0.05424996837973595,-0.02793654054403305,-1.0575381566013675e-05,-0.000743274053093046,-0.004895228426903486,0.006867176853120327,-0.0017534972866997123,0.03736770153045654,-0.011320093646645546,-0.0012727321591228247,-0.001024903729557991,-5.5697419156786054e-05,-0.001209207228384912,-0.00205105054192245,0.03625984489917755,0.27246636152267456,15.946839332580566,0.009999999776482582,-0.005910350475460291,0.03451225906610489,0.6843922138214111,0.10429906845092773,124641.0,0.4997960925102234,108.3499984741211,,2.3455240726470947,
5,-0.27393800020217896,-0.029062539339065552,0.06624995917081833,-0.032581716775894165,-1.2751870599458925e-05,-0.0008761374047026038,-0.005975437816232443,0.008401385508477688,-0.0021685566753149033,0.04608507081866264,-0.013698600232601166,-0.001587982987985015,-0.0012530164094641805,-6.635201862081885e-05,-0.0013969031861051917,-0.0025042067281901836,0.044529639184474945,0.33873510360717773,15.990005493164062,0.009999999776482582,-0.006846130825579166,0.024534618481993675,0.6822414398193359,0.10467410087585449,124923.0,0.5006933808326721,131.3300018310547,12.494253158569336,2.7864067554473877,0.33054831624031067
6,-0.32528939843177795,-0.03447262570261955,0.07824994623661041,-0.0401640348136425,-1.6382660760427825e-05,-0.0010416953591629863,-0.007144829258322716,0.009995412081480026,-0.002593735931441188,0.05410106107592583,-0.016271933913230896,-0.0018639403861016035,-0.001487772329710424,-8.533471554983407e-05,-0.001805699779652059,-0.002974126022309065,0.05323474854230881,0.41092437505722046,15.987117767333984,0.009999999776482582,-0.007432165089994669,0.033225834369659424,0.683624267578125,0.10626769065856934,124452.0,0.5008630752563477,157.94000244140625,34.95000076293945,3.4511091709136963,0.8345458507537842
7,-0.3764619529247284,-0.03969518467783928,0.0902499407529831,-0.04565165564417839,-1.836947922129184e-05,-0.0012096855789422989,-0.008298583328723907,0.011531902477145195,-0.0030076687689870596,0.06268438696861267,-0.018687672913074493,-0.0021480608265846968,-0.001720135798677802,-9.674753528088331e-05,-0.002033928642049432,-0.003453220007941127,0.059484392404556274,0.4540024995803833,15.999999046325684,0.009999999776482582,-0.00693771056830883,0.02610955573618412,0.6836931705474854,0.10478377342224121,124675.0,0.5004790425300598,180.33999633789062,85.41000366210938,3.9046034812927246,1.9537651538848877
8,-0.4068027138710022,-0.04315921291708946,0.09779159724712372,-0.0482238307595253,-1.9793507817666978e-05,-0.001291682361625135,-0.008906195871531963,0.012421255931258202,-0.0031470737885683775,0.06870989501476288,-0.020030582323670387,-0.002312824595719576,-0.0018614777363836765,-0.00010690461931517348,-0.002074633492156863,-0.0037214397452771664,0.06666114926338196,0.5023742914199829,15.998631477355957,0.009999999776482582,-0.006462401710450649,0.027016261592507362,0.6812593936920166,0.10452914237976074,125102.0,0.5002663731575012,201.9600067138672,108.3499984741211,4.334456920623779,2.3455240726470947
9,-0.47683191299438477,-0.05059424042701721,0.11424992978572845,-0.05793309211730957,-2.379526267759502e-05,-0.0015362141421064734,-0.010489958338439465,0.014574400149285793,-0.003742591477930546,0.08056605607271194,-0.023320533335208893,-0.002693670801818371,-0.0021803095005452633,-0.0001225510350195691,-0.002628662157803774,-0.004380566067993641,0.07658667862415314,0.6086570024490356,15.96607494354248,0.009999999776482582,-0.007403361611068249,0.027869753539562225,0.6873900890350342,0.10511589050292969,124041.0,0.49971726536750793,229.50999450683594,131.3300018310547,5.175663471221924,2.7864067554473877
