step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934088200330734,-0.0026205822359770536,-0.0037576723843812943,0.006125000771135092,-0.0025208466686308384,-1.1264641841535195e-07,-0.0003609678824432194,-0.0015318350633606315,-0.00045195966958999634,-0.06176454946398735,-0.0008985119638964534,0.009964292868971825,-0.00017966683662962168,0.004025071859359741,-0.0013319248100742698,-0.0028047598898410797,-0.00022002744663041085,-0.00010314275277778506,0.00091749825514853,-0.00011331138375680894,-5.699255325453123e-06,-0.00010515126632526517,-0.0001964376715477556,-0.09610903263092041,0.0033398147206753492,0.03788243979215622,15.939117431640625,0.001500000013038516,-0.006981390994042158,7.113526821136475,5.478916168212891,0.2834491729736328,17059.0,0.499519944190979,12.494253158569336,,-3.1459429264068604,
1,-0.1332937479019165,-0.0074905650690197945,-0.011080454103648663,0.01679166406393051,-0.0076937745325267315,-4.4699854129248706e-07,-0.0010045386152341962,-0.004693347495049238,-0.001426351023837924,-0.18271109461784363,-0.0022371606901288033,0.02949858270585537,-0.0006237999768927693,0.011524307541549206,-0.0035154707729816437,-0.028371445834636688,-0.000713251531124115,-0.0003122232446912676,0.0044649261981248856,-0.0006400221027433872,-1.752734897308983e-05,-0.0003212578594684601,-0.000605311943218112,-0.2943766713142395,0.009232884272933006,0.10937531292438507,15.975974082946777,0.003375000087544322,-0.007197581697255373,9.065895080566406,0.7490613460540771,0.10547351837158203,115038.0,0.49985620379447937,34.95000076293945,,-10.40616512298584,
2,-0.2307666838169098,-0.01255845557898283,-0.018684670329093933,0.028770819306373596,-0.014513950794935226,-8.451252142549492e-07,-0.001808075001463294,-0.008010514080524445,-0.0024834894575178623,-0.3154204487800598,-0.003615255933254957,0.05175338685512543,-0.0010972886811941862,0.019752737134695053,-0.006021462380886078,-0.056715913116931915,-0.0013189397286623716,-0.0005409461446106434,0.006918496452271938,-0.001256052521057427,-3.042199750780128e-05,-0.000625926477368921,-0.001063500763848424,-0.5092977285385132,0.015205347910523415,0.18156102299690247,15.998178482055664,0.007593750022351742,-0.005743054673075676,9.522408485412598,0.7508261203765869,0.10439944267272949,114945.0,0.5005059838294983,56.279998779296875,,-17.126474380493164,
3,-0.3422083854675293,-0.018687622621655464,-0.027902839705348015,0.042249977588653564,-0.02221098355948925,-1.235929175891215e-06,-0.00261606159619987,-0.011918540112674236,-0.003689005970954895,-0.4678214192390442,-0.0054027545265853405,0.07607533037662506,-0.0015808421885594726,0.028891272842884064,-0.008874651044607162,-0.14019034802913666,-0.0019209766760468483,-0.0008040987886488438,0.011050611734390259,-0.0025695418007671833,-4.439506301423535e-05,-0.0009738391963765025,-0.0015703056706115603,-0.7570187449455261,0.022788753733038902,0.27207788825035095,16.0115909576416,0.009999999776482582,-0.005954282358288765,9.157662391662598,0.7531499862670898,0.10408234596252441,114676.0,0.5009021162986755,85.41000366210938,,-27.710451126098633,
4,-0.4409143924713135,-0.02396242879331112,-0.035759177058935165,0.05424996837973595,-0.027450881898403168,-1.5367975265689893e-06,-0.0035185820888727903,-0.015389412641525269,-0.0047766100615262985,-0.6265918016433716,-0.0068155331537127495,0.09787975251674652,-0.0019972200971096754,0.0368971973657608,-0.011450788006186485,-0.251650333404541,-0.002446145284920931,-0.0010366695933043957,0.014413046650588512,-0.002652860712260008,-5.7867982832249254e-05,-0.001211361726745963,-0.002029445953667164,-0.9754688143730164,0.027819957584142685,0.32508212327957153,16.040149688720703,0.009999999776482582,-0.00658910907804966,9.317575454711914,0.7481122016906738,0.10502862930297852,115225.0,0.5010626912117004,108.3499984741211,,-36.87141799926758,
5,-0.5383381247520447,-0.029198575764894485,-0.04364074766635895,0.06624995917081833,-0.03295653313398361,-1.826255129344645e-06,-0.004174362402409315,-0.018810493871569633,-0.005822846200317144,-0.7426848411560059,-0.00815622229129076,0.1200103759765625,-0.002559637650847435,0.04588256776332855,-0.013754851184785366,-0.31145066022872925,-0.003086112206801772,-0.001267854473553598,0.016874738037586212,-0.0035618748515844345,-6.740352546330541e-05,-0.001440301537513733,-0.0024818023666739464,-1.1925899982452393,0.03450068086385727,0.4131733775138855,16.026208877563477,0.009999999776482582,-0.006713312119245529,8.719826698303223,0.7517814636230469,0.1048285961151123,114759.0,0.5014724731445312,131.3300018310547,12.494253158569336,-45.24665069580078,-3.1459429264068604
6,-0.639664351940155,-0.03465171903371811,-0.051826220005750656,0.07824994623661041,-0.039956409484148026,-2.4188282168324804e-06,-0.004956018645316362,-0.02238275110721588,-0.006965678185224533,-0.8633303642272949,-0.009521691128611565,0.14266058802604675,-0.003046588972210884,0.0539403036236763,-0.01631658896803856,-0.39047130942344666,-0.0036027159076184034,-0.0015051960945129395,0.020627709105610847,-0.005807265639305115,-8.563220035284758e-05,-0.0017804093658924103,-0.0029481216333806515,-1.4187943935394287,0.04099508374929428,0.49814900755882263,16.044153213500977,0.009999999776482582,-0.006811582483351231,8.677992820739746,0.7478277683258057,0.1050267219543457,115264.0,0.5018901228904724,157.94000244140625,34.95000076293945,-54.54697799682617,-10.40616512298584
7,-0.7408432364463806,-0.03990922495722771,-0.05972788482904434,0.0902499407529831,-0.04660645127296448,-2.567478759374353e-06,-0.0056449044495821,-0.025830155238509178,-0.0080927275121212,-1.0408083200454712,-0.01108679547905922,0.16405995190143585,-0.003414370585232973,0.062252920120954514,-0.01880752481520176,-0.5886649489402771,-0.004187797196209431,-0.0017424615798518062,0.022709615528583527,-0.006781953386962414,-9.830487397266552e-05,-0.0020889542065560818,-0.0034194018226116896,-1.6413978338241577,0.04708557575941086,0.5628542304039001,16.065624237060547,0.009999999776482582,-0.0057556647807359695,8.610949516296387,0.7605111598968506,0.10496997833251953,113583.0,0.5026652812957764,180.33999633789062,56.279998779296875,-64.1868667602539,-17.126474380493164
8,-0.8015204668045044,-0.04343108460307121,-0.06499641388654709,0.09779159724712372,-0.04926657676696777,-2.7955200039286865e-06,-0.00603887066245079,-0.027971742674708366,-0.008700845763087273,-1.0532400608062744,-0.011914506554603577,0.17866671085357666,-0.003684429917484522,0.06724826991558075,-0.020436590537428856,-0.5177153944969177,-0.004535782150924206,-0.0018863545265048742,0.026700519025325775,-0.006820298731327057,-0.00010564613330643624,-0.0021865516901016235,-0.0036891382187604904,-1.777227759361267,0.05275726318359375,0.5908626914024353,16.10831642150879,0.009999999776482582,-0.0068137855269014835,8.331141471862793,0.7519435882568359,0.10426998138427734,114812.0,0.5029389262199402,201.9600067138672,85.41000366210938,-70.0767822265625,-27.710451126098633
9,-0.9389364719390869,-0.05093983933329582,-0.07639039307832718,0.11424992978572845,-0.059543363749980927,-3.3760966289264616e-06,-0.007055722177028656,-0.03292672336101532,-0.010251892730593681,-1.2255282402038574,-0.013985785655677319,0.2089826762676239,-0.004359308164566755,0.07930649816989899,-0.023670410737395287,-0.5724765062332153,-0.005342405289411545,-0.002204820280894637,0.031369466334581375,-0.008026081137359142,-0.00012097011494915932,-0.002696049166843295,-0.004341489635407925,-2.077937126159668,0.06134748458862305,0.7341690063476562,16.1015567779541,0.009999999776482582,-0.00566769577562809,7.860286235809326,0.7539899349212646,0.10626626014709473,114272.0,0.5033955574035645,229.50999450683594,108.3499984741211,-79.02738952636719,-36.87141799926758
