step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
10,-1.035341501235962,-0.056532036513090134,-0.08474892377853394,0.12624990940093994,-0.06581848114728928,-3.882754299411317e-06,-0.00783427245914936,-0.03659318387508392,-0.011279838159680367,-1.3222302198410034,-0.015224089846014977,0.23096799850463867,-0.0013161322567611933,0.08776476234197617,-0.02612089179456234,-0.6487833261489868,-0.005942372139543295,-0.002445004880428314,0.029675981029868126,-0.009365018457174301,-0.00013748073251917958,-0.0031073899008333683,-0.0048107849434018135,-2.305661678314209,0.09045126289129257,0.7834984660148621,16.125383377075195,0.009999999776482582,-0.006782689597457647,7.6216325759887695,0.7006866931915283,0.10453128814697266,122083.0,0.5043832659721375,251.52999877929688,157.94000244140625,-85.29556274414062,-54.303672790527344
11,-1.1381547451019287,-0.06207166239619255,-0.09319590032100677,0.13824990391731262,-0.07105313241481781,-4.151709163124906e-06,-0.008543827570974827,-0.040033526718616486,-0.012404563836753368,-1.5039199590682983,-0.016974525526165962,0.2527279555797577,-0.0013963108649477363,0.09482523053884506,-0.028959644958376884,-0.7632155418395996,-0.0065408311784267426,-0.0026824544183909893,0.032389819622039795,-0.011483730748295784,-0.0001488198176957667,-0.00328113604336977,-0.005278307478874922,-2.530583381652832,0.09788670390844345,0.8510503768920898,16.18507194519043,0.009999999776482582,-0.005351335741579533,7.200254917144775,0.6990594863891602,0.10378861427307129,122444.0,0.5049417614936829,277.42999267578125,180.33999633789062,-96.89812469482422,-63.89918899536133
12,-1.2348641157150269,-0.06713995337486267,-0.10084603726863861,0.1502498835325241,-0.07576688379049301,-4.4362363951222505e-06,-0.009306026622653008,-0.04325646162033081,-0.013452567160129547,-1.5582826137542725,-0.01813039928674698,0.27424895763397217,-0.00148250930942595,0.10336842387914658,-0.031386516988277435,-0.895814836025238,-0.006918953265994787,-0.0029061762616038322,0.03490074723958969,-0.011563455685973167,-0.00016018316091503948,-0.003380353329703212,-0.005718163680285215,-2.7355055809020996,0.10759176313877106,0.9251624345779419,16.195791244506836,0.009999999776482582,-0.006353516131639481,7.017041206359863,0.7014181613922119,0.10443949699401855,121986.0,0.5056557059288025,298.8599853515625,229.50999450683594,-104.23396301269531,-80.17537689208984
13,-1.2802196741104126,-0.06973966956138611,-0.10471479594707489,0.1555623710155487,-0.08140290528535843,-4.8076176426548045e-06,-0.009693714790046215,-0.045129623264074326,-0.014002399519085884,-1.5868432521820068,-0.018754610791802406,0.2844125032424927,-0.0015945432242006063,0.10667583346366882,-0.0325927697122097,-0.8017615079879761,-0.00734825199469924,-0.0030153230763971806,0.03640434145927429,-0.01197049580514431,-0.00016604922711849213,-0.003749375231564045,-0.005948501639068127,-2.843367338180542,0.11226855218410492,0.9435414671897888,16.24147605895996,0.009999999776482582,-0.0054414477199316025,6.872308731079102,0.6973645687103271,0.10378646850585938,122703.0,0.5063931941986084,323.2099914550781,251.52999877929688,-110.86446380615234,-85.29556274414062
14,-1.3748271465301514,-0.07500781118869781,-0.11255404353141785,0.16677069664001465,-0.08695557713508606,-4.972475380782271e-06,-0.010417325422167778,-0.048644550144672394,-0.015072999522089958,-1.7528213262557983,-0.02004045806825161,0.30473974347114563,-0.0016899695619940758,0.11612853407859802,-0.03445032611489296,-1.0696015357971191,-0.007903173565864563,-0.0032429099082946777,0.03946388140320778,-0.012574534863233566,-0.00017750691040419042,-0.004037906415760517,-0.006396146025508642,-3.063432216644287,0.12083567678928375,1.0121240615844727,16.25363540649414,0.009999999776482582,-0.005700892768800259,6.571891784667969,0.6985914707183838,0.10433149337768555,122432.0,0.506627082824707,348.29998779296875,277.42999267578125,-122.4914321899414,-96.89812469482422
15,-1.5375093221664429,-0.08382418006658554,-0.12583285570144653,0.18624985218048096,-0.09492258727550507,-5.7416500567342155e-06,-0.011420832946896553,-0.05416838079690933,-0.01678244024515152,-1.8917163610458374,-0.022270312532782555,0.3413841426372528,-0.0019064350053668022,0.12903788685798645,-0.03865603357553482,-1.140339970588684,-0.008791218511760235,-0.003619606141000986,0.04346363991498947,-0.015980973839759827,-0.0002007964940275997,-0.004441031254827976,-0.007148738019168377,-3.4169864654541016,0.13635775446891785,1.1535993814468384,16.267248153686523,0.009999999776482582,-0.004643959924578667,6.2096028327941895,0.7005321979522705,0.10423731803894043,122151.0,0.5069374442100525,372.8599853515625,298.8599853515625,-130.77552795410156,-104.23396301269531
16,-1.6350746154785156,-0.08949761092662811,-0.13455986976623535,0.19824986159801483,-0.10111125558614731,-5.701692316506524e-06,-0.012303064577281475,-0.05761530622839928,-0.017810538411140442,-1.9985908269882202,-0.024034559726715088,0.3621528148651123,-0.0020225634798407555,0.13717405498027802,-0.04119596630334854,-1.1423609256744385,-0.009341375902295113,-0.003848036751151085,0.04629538208246231,-0.014689537696540356,-0.00021152272529434413,-0.004629331640899181,-0.007600056938827038,-3.627351760864258,0.14525718986988068,1.2146934270858765,16.26704978942871,0.009999999776482582,-0.006765548139810562,5.794405937194824,0.6978428363800049,0.10383987426757812,122622.0,0.5067461133003235,396.3900146484375,348.29998779296875,-138.672119140625,-122.4914321899414
17,-1.6606907844543457,-0.09095489233732224,-0.13655605912208557,0.2015625685453415,-0.1027112528681755,-6.274164661590476e-06,-0.01249473076313734,-0.058826714754104614,-0.01818300411105156,-2.116074323654175,-0.02392031066119671,0.36853712797164917,-0.0020803457591682673,0.1395806521177292,-0.0418524444103241,-1.3070212602615356,-0.009507805109024048,-0.003926485776901245,0.047762997448444366,-0.014551226049661636,-0.00021286382980179042,-0.004831857047975063,-0.007742977701127529,-3.7080440521240234,0.14463524520397186,1.250598430633545,16.268301010131836,0.009999999776482582,-0.00503175612539053,5.617965221405029,0.6967933177947998,0.10383963584899902,122782.0,0.5071387887001038,421.4800109863281,372.8599853515625,-149.22369384765625,-130.77552795410156
18,-1.8350908756256104,-0.10066626965999603,-0.151259645819664,0.22225037217140198,-0.1133602187037468,-6.671278242720291e-06,-0.013826088979840279,-0.0650697574019432,-0.020140456035733223,-2.3285040855407715,-0.026665784418582916,0.4067639112472534,-0.0023100588005036116,0.15321208536624908,-0.046340905129909515,-1.4567079544067383,-0.010570541024208069,-0.00433533638715744,0.05240193009376526,-0.017867153510451317,-0.00023882125969976187,-0.005268074572086334,-0.00856095738708973,-4.094499111175537,0.1593722701072693,1.3789142370224,16.265666961669922,0.009999999776482582,-0.004719403572380543,5.222783088684082,0.7009997367858887,0.10391473770141602,122129.0,0.5075145959854126,443.92999267578125,396.3900146484375,-160.74923706054688,-138.672119140625
19,-1.8527660369873047,-0.10170911252498627,-0.15296654403209686,0.22445893287658691,-0.11569579690694809,-7.097964953572955e-06,-0.013953160494565964,-0.06561682373285294,-0.02026820182800293,-2.258936882019043,-0.026345064863562584,0.41234755516052246,-0.0023548020981252193,0.15526051819324493,-0.04665520042181015,-1.2502082586288452,-0.010678999125957489,-0.00436818553134799,0.05287615954875946,-0.017130134627223015,-0.0002450525062158704,-0.005490063689649105,-0.008656749501824379,-4.125162124633789,0.16468727588653564,1.371422529220581,16.29271697998047,0.009999999776482582,-0.006128149107098579,5.110034942626953,0.6948261260986328,0.1040792465209961,123048.0,0.507860004901886,467.1300048828125,421.4800109863281,-161.08348083496094,-149.22369384765625
20,-2.0348854064941406,-0.11150437593460083,-0.16769272089004517,0.24625089764595032,-0.12627622485160828,-7.257556717377156e-06,-0.015298858284950256,-0.07196687161922455,-0.022307833656668663,-2.4150519371032715,-0.029617808759212494,0.45011386275291443,-0.002510472433641553,0.17008541524410248,-0.05125381797552109,-1.3884294033050537,-0.01166950911283493,-0.004796991124749184,0.05828065425157547,-0.017011206597089767,-0.00026495737256482244,-0.005892080720514059,-0.009492462500929832,-4.53195858001709,0.18306300044059753,1.4737470149993896,16.293838500976562,0.009999999776482582,-0.004962762352079153,4.76399564743042,0.7013239860534668,0.10416483879089355,122042.0,0.5083723068237305,489.5299987792969,467.1300048828125,-169.16253662109375,-161.08348083496094
21,-2.1337413787841797,-0.11722177267074585,-0.17638032138347626,0.2582511901855469,-0.133302241563797,-7.869388355175033e-06,-0.016089869663119316,-0.07564637064933777,-0.023368846625089645,-2.5375964641571045,-0.03072466515004635,0.4733511209487915,-0.0026533640921115875,0.17880117893218994,-0.05363275855779648,-1.543450117111206,-0.01235964149236679,-0.005030597094446421,0.060441844165325165,-0.0175151489675045,-0.0002779267088044435,-0.006263419985771179,-0.009977208450436592,-4.748955726623535,0.19084417819976807,1.576312780380249,16.32564353942871,0.009999999776482582,-0.00532154506072402,4.768151760101318,0.6975216865539551,0.10384345054626465,122670.0,0.5090541243553162,516.27001953125,489.5299987792969,-177.04660034179688,-169.16253662109375
22,-2.2402963638305664,-0.12294548004865646,-0.18484365940093994,0.27025145292282104,-0.1406412422657013,-8.472439731121995e-06,-0.016824519261717796,-0.07956165075302124,-0.02465447038412094,-2.705561637878418,-0.03193974494934082,0.49591851234436035,-0.0028323563747107983,0.18709871172904968,-0.056127868592739105,-1.8333410024642944,-0.01302710734307766,-0.005283748265355825,0.06347142904996872,-0.02096877247095108,-0.00029210865614004433,-0.006617547478526831,-0.010514235123991966,-4.991615295410156,0.19768331944942474,1.638275146484375,16.355327606201172,0.009999999776482582,-0.005883496254682541,4.448907375335693,0.7021048069000244,0.10520100593566895,121767.0,0.5092793107032776,540.6199951171875,516.27001953125,-190.52288818359375,-177.04660034179688
23,-2.33565616607666,-0.12865307927131653,-0.1936442255973816,0.2822517454624176,-0.14514265954494476,-8.882654583430849e-06,-0.017435725778341293,-0.08311452716588974,-0.025662532076239586,-2.71956205368042,-0.033071648329496384,0.5192705392837524,-0.0030075579416006804,0.1955939382314682,-0.0585680715739727,-1.634338140487671,-0.01351436972618103,-0.0055070072412490845,0.06629975885152817,-0.022906392812728882,-0.0003077622677665204,-0.006875905208289623,-0.010944437235593796,-5.206058502197266,0.21184444427490234,1.7323448657989502,16.381614685058594,0.006666666828095913,-0.006066758185625076,4.429779529571533,0.6976423263549805,0.10446500778198242,122557.0,0.5100355744361877,564.489990234375,540.6199951171875,-192.076904296875,-190.52288818359375
24,-2.434375286102295,-0.13403332233428955,-0.20161300897598267,0.2942520081996918,-0.15032124519348145,-9.294248229707591e-06,-0.018018245697021484,-0.08656671643257141,-0.026791542768478394,-2.8436572551727295,-0.034448396414518356,0.5408140420913696,-0.003159348387271166,0.2033638060092926,-0.06120976060628891,-1.5817162990570068,-0.01415255106985569,-0.005742819048464298,0.06921935826539993,-0.022461464628577232,-0.00031434657284989953,-0.00710443127900362,-0.011458491906523705,-5.424036979675293,0.2190481722354889,1.8118195533752441,16.4116153717041,0.006666666828095913,-0.005594376474618912,4.183616638183594,0.6989657878875732,0.10008525848388672,123025.0,0.5106664896011353,586.2000122070312,586.2000122070312,-198.41957092285156,-198.41957092285156
25,-2.5368669033050537,-0.1400170624256134,-0.21073532104492188,0.30625230073928833,-0.1563684195280075,-9.42838414630387e-06,-0.01901818811893463,-0.09035804122686386,-0.027841836214065552,-2.9905364513397217,-0.036473922431468964,0.5617806911468506,-0.0032529905438423157,0.21160440146923065,-0.0637206882238388,-1.8821661472320557,-0.014733200892806053,-0.0059749106876552105,0.07268881797790527,-0.022562667727470398,-0.00032967928564175963,-0.007400923874229193,-0.011915002018213272,-5.645294189453125,0.22709552943706512,1.8700979948043823,16.42826271057129,0.009999999776482582,-0.005632494576275349,4.018744468688965,0.7027781009674072,0.10480570793151855,121726.0,0.5110815167427063,611.02001953125,611.02001953125,-208.6757049560547,-208.6757049560547
26,-2.522623300552368,-0.13932177424430847,-0.20951804518699646,0.30512744188308716,-0.15539976954460144,-9.341969416709617e-06,-0.018968291580677032,-0.08982570469379425,-0.027668733149766922,-2.9079389572143555,-0.03654785454273224,0.5596137642860413,-0.0032330029644072056,0.2109098881483078,-0.06346359848976135,-1.7038682699203491,-0.01460806280374527,-0.005962164606899023,0.0721694827079773,-0.021700114011764526,-0.000326562556438148,-0.007352450396865606,-0.01185566745698452,-5.632344722747803,0.2295563519001007,1.8521919250488281,16.42807960510254,0.009999999776482582,-0.006023462396115065,3.8317019939422607,0.698951244354248,0.10386514663696289,122448.0,0.5111318230628967,636.6799926757812,636.6799926757812,-213.6005401611328,-213.6005401611328
27,-2.738741636276245,-0.15137989819049835,-0.2278938740491867,0.33025282621383667,-0.16656459867954254,-1.0358776307839435e-05,-0.020444821566343307,-0.09738685935735703,-0.029976248741149902,-3.1779868602752686,-0.0391240194439888,0.6073876619338989,-0.00349177373573184,0.22872650623321533,-0.0685645192861557,-2.125715732574463,-0.015851108357310295,-0.0064491406083106995,0.07849934697151184,-0.02191084995865822,-0.000363126746378839,-0.007829904556274414,-0.012860982678830624,-6.095475196838379,0.24795088171958923,2.0273725986480713,16.438060760498047,0.009999999776482582,-0.00618397630751133,3.7196412086486816,0.6977226734161377,0.10405683517456055,122607.0,0.5113118886947632,659.3400268554688,659.3400268554688,-228.79180908203125,-228.79180908203125
28,-2.7159347534179688,-0.15054000914096832,-0.22651807963848114,0.3278779685497284,-0.16824883222579956,-1.0645095244399272e-05,-0.020533006638288498,-0.0971868634223938,-0.029918452724814415,-3.107661008834839,-0.03881508857011795,0.6027431488037109,-0.0035576759837567806,0.2271333932876587,-0.06805704534053802,-1.8901879787445068,-0.015918562188744545,-0.006419822108000517,0.0777638852596283,-0.02319604903459549,-0.00035812947317026556,-0.007995101623237133,-0.012831564992666245,-6.073317527770996,0.24768100678920746,2.0226423740386963,16.433439254760742,0.006666666828095913,-0.006740502081811428,3.764786720275879,0.6945860385894775,0.10437512397766113,123039.0,0.5117793083190918,683.02001953125,709.6199951171875,-232.78550720214844,-244.00473022460938
29,-2.9369397163391113,-0.16317737102508545,-0.24577587842941284,0.3542533814907074,-0.1781078279018402,-1.0810164894792251e-05,-0.022182000800967216,-0.10483409464359283,-0.03215010464191437,-3.365673780441284,-0.04197937250137329,0.6489499807357788,-0.0037757751997560263,0.24592944979667664,-0.07338588684797287,-2.18204402923584,-0.017116259783506393,-0.006938963662832975,0.08505944907665253,-0.025920351967215538,-0.0003780638216994703,-0.00843122135847807,-0.01382672693580389,-6.566082000732422,0.2665565013885498,2.163308620452881,16.475568771362305,0.009999999776482582,-0.0055770245380699635,3.480065107345581,0.6970469951629639,0.10446977615356445,122647.0,0.5121579170227051,709.6199951171875,732.4199829101562,-244.00473022460938,-256.6081848144531
30,-3.0394463539123535,-0.16838233172893524,-0.25357162952423096,0.36625367403030396,-0.18559741973876953,-1.138741117756581e-05,-0.022821463644504547,-0.10834139585494995,-0.033369507640600204,-3.4746806621551514,-0.04319043457508087,0.6723952293395996,-0.003927135374397039,0.25400230288505554,-0.07594341784715652,-2.3208649158477783,-0.017776187509298325,-0.007169743068516254,0.08662237226963043,-0.02650218829512596,-0.00039120763540267944,-0.008820188231766224,-0.014317549765110016,-6.7872138023376465,0.27559804916381836,2.226301908493042,16.506887435913086,0.006666666828095913,-0.006447284482419491,3.287912368774414,0.6990237236022949,0.10379171371459961,122449.0,0.5128450393676758,732.4199829101562,753.2000122070312,-256.6081848144531,-258.3331298828125
31,-3.012324094772339,-0.16713380813598633,-0.2517099976539612,0.3624829649925232,-0.18488329648971558,-1.1881391401402652e-05,-0.022600866854190826,-0.10765071958303452,-0.03323763981461525,-3.440560817718506,-0.041984718292951584,0.6674582362174988,-0.003957039210945368,0.25062620639801025,-0.07537288963794708,-2.0737814903259277,-0.01773141697049141,-0.007102043367922306,0.08609869331121445,-0.025906767696142197,-0.0003954203275498003,-0.008883927017450333,-0.01424810104072094,-6.7230682373046875,0.27329689264297485,2.2142786979675293,16.47804069519043,0.009999999776482582,-0.006125833373516798,3.189377784729004,0.69618821144104,0.10443758964538574,122783.0,0.5129662752151489,753.2000122070312,778.9299926757812,-258.3331298828125,-267.71337890625
32,-3.2423110008239746,-0.1802610456943512,-0.2714560031890869,0.3902541995048523,-0.198522686958313,-1.2258271453902125e-05,-0.024174567312002182,-0.115936279296875,-0.03572148084640503,-3.630317211151123,-0.0459325909614563,0.7165979146957397,-0.004210456274449825,0.269737184047699,-0.08117258548736572,-2.4193811416625977,-0.01913398876786232,-0.00765699427574873,0.0925644040107727,-0.029913296923041344,-0.00041964498814195395,-0.009370749816298485,-0.01531284861266613,-7.244776725769043,0.2955785393714905,2.40250301361084,16.517173767089844,0.009999999776482582,-0.0059802113100886345,2.9849131107330322,0.6980569362640381,0.10361385345458984,122623.0,0.5136046409606934,778.9299926757812,829.4199829101562,-267.71337890625,-280.49945068359375
33,-3.3413162231445312,-0.1855510175228119,-0.2794359624385834,0.40225446224212646,-0.20255964994430542,-1.3007195775571745e-05,-0.02474384568631649,-0.11939847469329834,-0.03676539659500122,-3.8773059844970703,-0.04732154309749603,0.7402254939079285,-0.00440082885324955,0.2798472046852112,-0.08316422998905182,-2.880486488342285,-0.01953188143670559,-0.007880572229623795,0.09616180509328842,-0.029583869501948357,-0.0004372240509837866,-0.009698035195469856,-0.015809612348675728,-7.4549455642700195,0.30120334029197693,2.448878049850464,16.532901763916016,0.009999999776482582,-0.007079766597598791,2.837578296661377,0.696990966796875,0.10369324684143066,122774.0,0.5136976838111877,804.0599975585938,853.8699951171875,-282.1708068847656,-291.9023132324219
34,-3.296764373779297,-0.1839282512664795,-0.2772310972213745,0.3972128629684448,-0.19868671894073486,-1.255446386494441e-05,-0.02458076737821102,-0.11789451539516449,-0.03622947260737419,-3.5950076580047607,-0.04676361009478569,0.729627788066864,-0.004312061704695225,0.2763122320175171,-0.08212948590517044,-2.2722249031066895,-0.019350290298461914,-0.007787160575389862,0.094876728951931,-0.030460134148597717,-0.00042754699825309217,-0.009513210505247116,-0.015612788498401642,-7.367345809936523,0.30584460496902466,2.426293134689331,16.54452896118164,0.009999999776482582,-0.00634781364351511,2.582240104675293,0.6981360912322998,0.10369420051574707,122599.0,0.5139114260673523,829.4199829101562,874.8599853515625,-280.49945068359375,-296.8852844238281
35,-3.5456457138061523,-0.19710604846477509,-0.2969248294830322,0.4262549877166748,-0.21420598030090332,-1.3583018699137028e-05,-0.02638987824320793,-0.1267424374818802,-0.03901922330260277,-3.9142308235168457,-0.04988112300634384,0.7847983241081238,-0.004590371623635292,0.2977307140827179,-0.08779653161764145,-2.5323686599731445,-0.020749805495142937,-0.008353739976882935,0.10231584310531616,-0.030601471662521362,-0.0004658489488065243,-0.010172288864850998,-0.01676737517118454,-7.909728050231934,0.326530784368515,2.6166577339172363,16.55266761779785,0.006666666828095913,-0.00738262664526701,2.5909528732299805,0.6967096328735352,0.10423493385314941,122735.0,0.514167308807373,853.8699951171875,900.469970703125,-291.9023132324219,-305.3593444824219
