step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.044585950672626495,-0.0026460750959813595,-0.003819515462964773,0.006125000771135092,-0.002644649241119623,-9.881721041438141e-08,0.0,-0.0003502878244034946,-0.0015038845594972372,-0.00044741813326254487,-0.05833395570516586,-0.000879625033121556,0.010149836540222168,-0.00030293408781290054,0.004049402661621571,-0.0013251662021502852,-0.002488984726369381,-0.00022809184156358242,-0.00010353728430345654,0.0014580853749066591,-8.795806206762791e-05,-5.3313010539568495e-06,-0.00010938476771116257,-0.0002032135089393705,-0.20450882613658905,0.0036292390432208776,0.03873537480831146,15.934802055358887,0.001500000013038516,-0.007710027974098921,19.85302734375,5.514840126037598,0.25966429710388184,17023.0,0.49915799498558044,13.25,,-5.597628593444824,
1,-0.1404116302728653,-0.007724675815552473,-0.011430934071540833,0.01770833134651184,-0.008177131414413452,-3.761365405807737e-07,0.0,-0.0010663827415555716,-0.00472337007522583,-0.001449081115424633,-0.1982359141111374,-0.0022557361517101526,0.031215380877256393,-0.0009213463636115193,0.012028503231704235,-0.0037420829758048058,-0.021440034732222557,-0.0007351228850893676,-0.0003252073656767607,0.004954887554049492,-0.0005548493936657906,-1.7088797903852537e-05,-0.00034785247407853603,-0.000642937608063221,-0.6455425024032593,0.009262358769774437,0.1121196374297142,15.936426162719727,0.005062500014901161,-0.005901123862713575,22.8089542388916,0.7303049564361572,0.10456299781799316,117747.0,0.49915778636932373,34.72999954223633,,-16.7293643951416,
2,-0.2431771457195282,-0.013277573511004448,-0.01975991204380989,0.030249986797571182,-0.01466610562056303,-7.254334377648775e-07,0.0,-0.0018994377460330725,-0.008375468663871288,-0.0026042982935905457,-0.3368590474128723,-0.003857534844428301,0.054060276597738266,-0.0017363600200042129,0.02091861329972744,-0.006289274897426367,-0.06141083687543869,-0.001322967349551618,-0.000567811424843967,0.007788992486894131,-0.0012032955419272184,-3.209989154129289e-05,-0.0006544734351336956,-0.0011434382759034634,-1.1302591562271118,0.016626998782157898,0.1703004539012909,15.924856185913086,0.007593750022351742,-0.0063788751140236855,23.61864471435547,0.7357478141784668,0.1052858829498291,116884.0,0.49896374344825745,61.15999984741211,,-31.28716278076172,
3,-0.32686835527420044,-0.017704376950860023,-0.026462793350219727,0.04035414382815361,-0.019683105871081352,-1.043256474986265e-06,0.0,-0.0025232816115021706,-0.011289829388260841,-0.003535992233082652,-0.4902760982513428,-0.0049234433099627495,0.0731552243232727,-0.002395997289568186,0.027785684913396835,-0.008423426188528538,-0.14409324526786804,-0.0017724786885082722,-0.0007661438430659473,0.011303536593914032,-0.002106900792568922,-4.296157567296177e-05,-0.0008939891122281551,-0.0015462886076420546,-1.526292324066162,0.020968034863471985,0.22529761493206024,15.932205200195312,0.009999999776482582,-0.005987485405057669,22.946870803833008,0.7236068248748779,0.10400819778442383,118779.0,0.49909454584121704,85.47000122070312,,-46.520652770996094,
4,-0.4434518814086914,-0.02373778447508812,-0.035448767244815826,0.05424996465444565,-0.02702125534415245,-1.4870082623019698e-06,0.0,-0.003503804560750723,-0.015254124999046326,-0.004803641699254513,-0.6279573440551758,-0.006740895565599203,0.09851045906543732,-0.0032860643696039915,0.03703232482075691,-0.011413251981139183,-0.2451707422733307,-0.002458309754729271,-0.0010302069131284952,0.014898973517119884,-0.0031181301455944777,-5.68676259717904e-05,-0.0011849361471831799,-0.002093720715492964,-2.053813934326172,0.02856047824025154,0.32549649477005005,15.93712043762207,0.009999999776482582,-0.006077041383832693,23.003311157226562,0.7256767749786377,0.10394716262817383,118492.0,0.49928054213523865,107.87000274658203,,-58.90058517456055,
5,-0.5418041348457336,-0.02914612740278244,-0.043655913323163986,0.06624995917081833,-0.032808419317007065,-1.888220481305325e-06,0.0,-0.004379145335406065,-0.018642906099557877,-0.005862481892108917,-0.7761497497558594,-0.007997939363121986,0.12075746059417725,-0.004042568616569042,0.04538162052631378,-0.013894002884626389,-0.28528356552124023,-0.0029943331610411406,-0.0012662033550441265,0.018062278628349304,-0.0045115752145648,-6.983526691328734e-05,-0.001549698761664331,-0.0025578057393431664,-2.5251448154449463,0.035587459802627563,0.3763585090637207,15.93985652923584,0.009999999776482582,-0.006960595957934856,21.549062728881836,0.7254645824432373,0.10417532920837402,118489.0,0.4991477131843567,131.17999267578125,13.25,-71.65433502197266,-5.597628593444824
6,-0.6397643089294434,-0.034361593425273895,-0.05158429965376854,0.07824994623661041,-0.03963565081357956,-1.9352719391463324e-06,0.0,-0.005005339160561562,-0.021888118237257004,-0.006881432142108679,-0.9660572409629822,-0.009724797680974007,0.14160126447677612,-0.0047250366769731045,0.05329376459121704,-0.01649618148803711,-0.4747798442840576,-0.003594787558540702,-0.001485908287577331,0.02237529680132866,-0.0046404884196817875,-8.150506619131193e-05,-0.0018012261716648936,-0.0030223368667066097,-2.9586615562438965,0.040783535689115524,0.49731820821762085,15.923844337463379,0.009999999776482582,-0.0062577975913882256,21.397310256958008,0.7248408794403076,0.10390090942382812,118618.0,0.4990556538105011,156.72999572753906,34.72999954223633,-86.20770263671875,-16.7293643951416
7,-0.7401704788208008,-0.039743538945913315,-0.059631139039993286,0.0902499407529831,-0.04706144332885742,-2.3517527552030515e-06,0.0,-0.005806560628116131,-0.025456225499510765,-0.00800812616944313,-1.0676411390304565,-0.011023838073015213,0.1642446517944336,-0.005580389406532049,0.06253033131361008,-0.018730467185378075,-0.47101300954818726,-0.004129318054765463,-0.001730770687572658,0.02601645514369011,-0.006555709056556225,-9.34772178879939e-05,-0.0021367822773754597,-0.0035014559980481863,-3.453139305114746,0.047913432121276855,0.5387758612632751,15.9321928024292,0.009999999776482582,-0.006713551003485918,20.543540954589844,0.7287616729736328,0.10399675369262695,118046.0,0.49982523918151855,181.52000427246094,61.15999984741211,-101.57072448730469,-31.28716278076172
8,-0.840977668762207,-0.045235514640808105,-0.06782537698745728,0.10224992036819458,-0.0517541728913784,-2.8671590825979365e-06,0.0,-0.006611711345613003,-0.029161890968680382,-0.009160639718174934,-1.1713441610336304,-0.011982854455709457,0.18778716027736664,-0.006279613822698593,0.07054909318685532,-0.021303027868270874,-0.636000394821167,-0.004678791388869286,-0.0019635686185210943,0.028828591108322144,-0.006445285864174366,-0.00010965405817842111,-0.002364310435950756,-0.00400011520832777,-3.9213461875915527,0.05428870767354965,0.6252539157867432,15.932869911193848,0.009999999776482582,-0.006838509347289801,20.830638885498047,0.7286376953125,0.10454893112182617,117985.0,0.49953705072402954,203.6999969482422,85.47000122070312,-115.28477478027344,-46.520652770996094
9,-0.9402353763580322,-0.05059175193309784,-0.07587844133377075,0.11424992978572845,-0.05742214620113373,-3.0372418677870883e-06,0.0,-0.0074659064412117004,-0.032542772591114044,-0.010205036960542202,-1.2727272510528564,-0.013899320736527443,0.20805774629116058,-0.006817599758505821,0.07847627997398376,-0.02390102855861187,-0.5874970555305481,-0.005165531300008297,-0.0021989108063280582,0.031195607036352158,-0.006617332808673382,-0.00011980835552094504,-0.002555818296968937,-0.004440040327608585,-4.393905162811279,0.06293906271457672,0.7041499018669128,15.93244457244873,0.009999999776482582,-0.0058748433366417885,20.486434936523438,0.727337121963501,0.10422015190124512,118216.0,0.4994584321975708,229.1199951171875,131.17999267578125,-125.86882781982422,-71.65433502197266
