step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04276534914970398,-0.002539129462093115,-0.0036409362219274044,0.0058750007301568985,-0.0022868760861456394,-9.584981341959065e-08,0.0,-0.0003364213043823838,-0.0014304266078397632,-0.00042917742393910885,-0.06178883835673332,-0.0008896001381799579,0.009466282092034817,-0.00027034556842409074,0.003961729817092419,-0.0012495198752731085,-0.0026700440794229507,-0.00020584538287948817,-9.816811507334933e-05,0.0008786454563960433,-7.691877544857562e-05,-5.314045665727463e-06,-9.328673331765458e-05,-0.00018881743017118424,-0.19334650039672852,0.0033743041567504406,0.0388212688267231,15.954849243164062,0.001500000013038516,-0.0066559505648911,20.000917434692383,6.20318603515625,0.48603367805480957,14695.0,0.49957624077796936,14.710000038146973,,-6.500322341918945,
1,-0.14543065428733826,-0.00797206535935402,-0.011758076958358288,0.0182499960064888,-0.008419468067586422,-4.230250283399073e-07,0.0,-0.0010749413631856441,-0.0049239457584917545,-0.0015539828455075622,-0.2146385908126831,-0.002427674364298582,0.031849708408117294,-0.0011351399589329958,0.012570798397064209,-0.003808111883699894,-0.027159711346030235,-0.00082248670514673,-0.00033497129334136844,0.003932206425815821,-0.0005181421292945743,-1.7985354133998044e-05,-0.0003661940572783351,-0.0006736324867233634,-0.6652826070785522,0.009833111427724361,0.11158867925405502,15.925576210021973,0.005062500014901161,-0.0064394837245345116,22.90302276611328,1.3734056949615479,0.15115809440612793,64480.0,0.4984893798828125,35.29999923706055,,-17.465486526489258,
2,-0.24658820033073425,-0.01325034536421299,-0.019686710089445114,0.030249986797571182,-0.014769986271858215,-7.78528942646517e-07,0.0,-0.0018614735454320908,-0.008353350684046745,-0.0026449766010046005,-0.37302669882774353,-0.003833552822470665,0.05403868854045868,-0.001954743405804038,0.020661648362874985,-0.006360653787851334,-0.08895401656627655,-0.0013221418485045433,-0.0005656046560034156,0.007097510155290365,-0.0013487087562680244,-3.162687789881602e-05,-0.0006607460090890527,-0.001124704023823142,-1.1233344078063965,0.016254756599664688,0.17291395366191864,15.888142585754395,0.007593750022351742,-0.005954614374786615,23.884510040283203,1.0544342994689941,0.15338659286499023,81389.0,0.4980134963989258,59.869998931884766,,-31.578310012817383,
3,-0.3314727246761322,-0.017690248787403107,-0.02636677399277687,0.04033331200480461,-0.019254285842180252,-1.076286366696877e-06,0.0,-0.002491082064807415,-0.011197499930858612,-0.0035708181094378233,-0.48267388343811035,-0.00499079842120409,0.07288585603237152,-0.002688536187633872,0.028035616502165794,-0.008345667272806168,-0.11648722738027573,-0.001823216094635427,-0.0007577963406220078,0.010366666130721569,-0.0014960134867578745,-4.225395241519436e-05,-0.0009238147176802158,-0.0015334689524024725,-1.507394790649414,0.022074390202760696,0.24082517623901367,15.882390975952148,0.009999999776482582,-0.005740185268223286,23.754913330078125,0.9927117824554443,0.09936714172363281,90015.0,0.4981778562068939,81.30999755859375,,-43.66340637207031,
4,-0.4276289939880371,-0.022698989138007164,-0.03385065123438835,0.05181246995925903,-0.027203839272260666,-1.4713098153151805e-06,0.0,-0.0032122135162353516,-0.014495957642793655,-0.004666786175221205,-0.6088706254959106,-0.006277765613049269,0.09353406727313995,-0.0034077931195497513,0.0354902520775795,-0.01086660660803318,-0.1895313858985901,-0.00242606271058321,-0.0009778199018910527,0.013183005154132843,-0.0029365390073508024,-5.523919389816001e-05,-0.001299537718296051,-0.00197443924844265,-1.9432001113891602,0.0275509562343359,0.3115587830543518,15.883082389831543,0.009999999776482582,-0.006918837316334248,22.915040969848633,0.7129769325256348,0.10649514198303223,119960.0,0.49791914224624634,107.68000030517578,,-58.27843475341797,
5,-0.5478523969650269,-0.02896132692694664,-0.04325101897120476,0.06624995917081833,-0.03376632556319237,-1.7840193322626874e-06,0.0,-0.004172557964920998,-0.018526729196310043,-0.0059438431635499,-0.7569451332092285,-0.008026680909097195,0.12026393413543701,-0.0043013556860387325,0.04540913924574852,-0.013886360451579094,-0.2516050338745117,-0.0030410131439566612,-0.001253955764696002,0.018343355506658554,-0.0032490789890289307,-6.807061436120421e-05,-0.0015605910448357463,-0.002516570035368204,-2.491903066635132,0.03495432436466217,0.3880266547203064,15.86264705657959,0.009999999776482582,-0.00718400813639164,22.198572158813477,0.7092134952545166,0.10440468788146973,120823.0,0.49793708324432373,133.22999572753906,,-71.58999633789062,
6,-0.6485783457756042,-0.034291476011276245,-0.051202453672885895,0.07824994623661041,-0.039716966450214386,-2.151243734260788e-06,0.0,-0.0048538390547037125,-0.022045781835913658,-0.007109529804438353,-0.9378311634063721,-0.00936083309352398,0.1423853486776352,-0.005206264555454254,0.053804121911525726,-0.01635441556572914,-0.35989999771118164,-0.003655671840533614,-0.0014911899343132973,0.02096264436841011,-0.0043228864669799805,-8.393802272621542e-05,-0.0018800109392032027,-0.003012909321114421,-2.969006061553955,0.04103640094399452,0.44354552030563354,15.905491828918457,0.009999999776482582,-0.006469545885920525,22.171350479125977,0.734297513961792,0.1170341968536377,115470.0,0.49830085039138794,154.1999969482422,14.710000038146973,-85.39359283447266,-6.500322341918945
7,-0.7467362284660339,-0.03953057527542114,-0.05911160632967949,0.0902499407529831,-0.045744553208351135,-2.431801476632245e-06,0.0,-0.005534842610359192,-0.025357594713568687,-0.008157017640769482,-1.0865960121154785,-0.01094391755759716,0.16460371017456055,-0.0062043555080890656,0.06243683397769928,-0.018756438046693802,-0.43513625860214233,-0.004212218336760998,-0.0017171509098261595,0.024496227502822876,-0.004828412085771561,-9.344266436528414e-05,-0.002109099179506302,-0.003475811332464218,-3.413362503051758,0.04597415775060654,0.5355590581893921,15.909952163696289,0.009999999776482582,-0.007007631938904524,21.316505432128906,0.8193743228912354,0.1208953857421875,104548.0,0.49855414032936096,181.22999572753906,,-100.92522430419922,
8,-0.8469578623771667,-0.044767554849386215,-0.06698302924633026,0.10224992036819458,-0.05222146958112717,-3.0496855742967455e-06,0.0,-0.006275888532400131,-0.02870400995016098,-0.009248700924217701,-1.1795953512191772,-0.012134231626987457,0.18653661012649536,-0.007227003574371338,0.07023809850215912,-0.021389415487647057,-0.5110313892364502,-0.004733626265078783,-0.001944729476235807,0.02701902762055397,-0.0065110004507005215,-0.00010906816169153899,-0.002488975180312991,-0.003941048868000507,-3.865879774093628,0.05612150579690933,0.6008570194244385,15.89124584197998,0.009999999776482582,-0.006397165823727846,20.415632247924805,0.7924110889434814,0.10961151123046875,108981.0,0.4984045922756195,204.97999572753906,35.29999923706055,-112.75189208984375,-17.465486526489258
9,-0.9458829760551453,-0.0499517023563385,-0.07475218176841736,0.11424992978572845,-0.05932050943374634,-3.176017344230786e-06,0.0,-0.007042251527309418,-0.03198573365807533,-0.010352815501391888,-1.386694312095642,-0.013383137993514538,0.2081177681684494,-0.007660682313144207,0.07846610248088837,-0.02390385791659355,-0.5949623584747314,-0.0052810609340667725,-0.0021726107224822044,0.03228884935379028,-0.007196045480668545,-0.00011891935719177127,-0.0027828356251120567,-0.004411350470036268,-4.316579818725586,0.05948573350906372,0.6572911143302917,15.887872695922852,0.009999999776482582,-0.006720320787280798,20.49015998840332,0.7969841957092285,0.12675738334655762,106419.0,0.4984980523586273,228.99000549316406,59.869998931884766,-126.75660705566406,-31.578310012817383
