step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.02238471806049347,-0.0026203347370028496,0.006125000771135092,-0.0025304886512458324,-8.11506140507845e-07,-8.007171709323302e-05,-0.00046455877600237727,0.0006949168164283037,0.004115518182516098,-0.0013068006373941898,-0.00011384689423721284,-0.00010193368507316336,-5.670430255122483e-06,-0.00010795576963573694,-0.00019790079386439174,0.00470809917896986,0.03111696057021618,15.950311660766602,0.001500000013038516,-0.006423192098736763,0.03229855000972748,5.3276166915893555,0.30051302909851074,17466.0,0.49978846311569214,12.494253158569336,,0.33337607979774475,
1,-0.06776776909828186,-0.007488850504159927,0.01679166406393051,-0.007725014351308346,-3.037956730622682e-06,-0.00020969958859495819,-0.0014626368647441268,0.002078919904306531,0.011629931628704071,-0.0034861303865909576,-0.00035740184830501676,-0.00030793994665145874,-1.6732203221181408e-05,-0.0003318031085655093,-0.0006099218735471368,0.012145403772592545,0.08657851070165634,15.967865943908691,0.003375000087544322,-0.006601444911211729,0.027729330584406853,0.6236667633056641,0.10546755790710449,134822.0,0.49985066056251526,34.95000076293945,,0.8484511971473694,
2,-0.11715343594551086,-0.01254869531840086,0.028770819306373596,-0.014532133936882019,-5.669107849826105e-06,-0.0004009942931588739,-0.002556640189141035,0.003612781409174204,0.01998504251241684,-0.005956933833658695,-0.0006785182631574571,-0.000536009669303894,-2.981603392981924e-05,-0.0006183048826642334,-0.0010747374035418034,0.020793795585632324,0.14545923471450806,15.955435752868652,0.005062500014901161,-0.006906190887093544,0.024267161265015602,0.6254830360412598,0.10535168647766113,134509.0,0.4994860589504242,56.279998779296875,,1.2563968896865845,
3,-0.17372135818004608,-0.018649525940418243,0.042249977588653564,-0.02205074392259121,-8.571026228310075e-06,-0.000555393286049366,-0.0037983963266015053,0.005342438817024231,0.029081499204039574,-0.008821810595691204,-0.0009883120656013489,-0.0007960015791468322,-4.465906386030838e-05,-0.0009548615198582411,-0.0015908157220110297,0.030177559703588486,0.23025815188884735,15.9486665725708,0.007593750022351742,-0.006720658391714096,0.02098744735121727,0.6569259166717529,0.10444283485412598,129114.0,0.49946895241737366,85.41000366210938,,2.006815195083618,
4,-0.22388635575771332,-0.023868538439273834,0.05424996837973595,-0.02801404520869255,-1.0602814654703252e-05,-0.0007519908249378204,-0.00489441491663456,0.006870889570564032,0.03736357390880585,-0.011321239173412323,-0.0012666822876781225,-0.001025334233418107,-5.6436150771332905e-05,-0.0012024230090901256,-0.0020518284291028976,0.03589041531085968,0.2723889648914337,15.94822883605957,0.009999999776482582,-0.00600396329537034,0.034813832491636276,0.6599023342132568,0.10624194145202637,128310.0,0.49963217973709106,108.3499984741211,,2.3938491344451904,
5,-0.2738993763923645,-0.029055416584014893,0.06624995917081833,-0.03251340985298157,-1.2807430721295532e-05,-0.0008920538239181042,-0.005977552384138107,0.008429461158812046,0.04625062271952629,-0.013652615249156952,-0.0015835179947316647,-0.0012533556437119842,-6.739466334693134e-05,-0.0014057060470804572,-0.0025056307204067707,0.04435865208506584,0.33832770586013794,15.981416702270508,0.009999999776482582,-0.00700713787227869,0.024953246116638184,0.6667335033416748,0.10588550567626953,127234.0,0.5003753304481506,131.3300018310547,12.494253158569336,2.838697910308838,0.33337607979774475
6,-0.325160950422287,-0.03446195647120476,0.07824994623661041,-0.039900753647089005,-1.6454003343824297e-05,-0.0010435861768200994,-0.007142942398786545,0.009993534535169601,0.05431663990020752,-0.01621204987168312,-0.0018667862750589848,-0.0014868180733174086,-8.562265429645777e-05,-0.0017846832051873207,-0.0029770475812256336,0.053147315979003906,0.41068071126937866,15.976176261901855,0.009999999776482582,-0.007128964178264141,0.03353221341967583,0.6671445369720459,0.10975980758666992,126532.0,0.5004140734672546,157.94000244140625,34.95000076293945,3.5120348930358887,0.8484511971473694
7,-0.3762328028678894,-0.03967934474349022,0.0902499407529831,-0.04579104483127594,-1.8501626982470043e-05,-0.0012143541825935245,-0.00829350482672453,0.011532734148204327,0.06297469139099121,-0.018607035279273987,-0.0021474952809512615,-0.0017208390636369586,-9.691918967291713e-05,-0.0020403065718710423,-0.0034546884708106518,0.059666745364665985,0.453888475894928,15.981727600097656,0.009999999776482582,-0.006355872843414545,0.026444124057888985,0.6605479717254639,0.10538840293884277,128344.0,0.5001352429389954,180.33999633789062,85.41000366210938,3.9741950035095215,2.006815195083618
8,-0.4065248966217041,-0.04313867911696434,0.09779159724712372,-0.048035334795713425,-2.0150393538642675e-05,-0.0012932477984577417,-0.008891791105270386,0.012436805292963982,0.06848658621311188,-0.020092613995075226,-0.0023120834957808256,-0.0018615148728713393,-0.00010671253403415903,-0.0020938203670084476,-0.003724881215021014,0.06721231341362,0.5017669200897217,15.982205390930176,0.009999999776482582,-0.006765133701264858,0.026869315654039383,0.6593132019042969,0.10456156730651855,128691.0,0.500001847743988,201.9600067138672,108.3499984741211,4.421875,2.3938491344451904
9,-0.4767075479030609,-0.050560738891363144,0.11424992978572845,-0.05789102241396904,-2.364832289458718e-05,-0.0015354740899056196,-0.010481072589755058,0.014596688561141491,0.08009999990463257,-0.023449992761015892,-0.002690441906452179,-0.0021773031912744045,-0.00012198711920063943,-0.0026693798135966063,-0.004383453167974949,0.07785381376743317,0.6098835468292236,15.95676326751709,0.009999999776482582,-0.006909659132361412,0.028114572167396545,0.6661379337310791,0.1065676212310791,127220.0,0.49961692094802856,229.50999450683594,131.3300018310547,5.254744052886963,2.838697910308838
10,-0.5264277458190918,-0.05600491911172867,0.12624990940093994,-0.06188063323497772,-2.6302592232241295e-05,-0.0017094488721340895,-0.011565549299120903,0.016124321147799492,0.08912720531225204,-0.025742432102560997,-0.0030490229837596416,-0.0024115804117172956,-0.00013393198605626822,-0.002769286511465907,-0.004848256707191467,0.08696471154689789,0.6901335716247559,15.950626373291016,0.009999999776482582,-0.006342018488794565,0.03107931837439537,0.6357986927032471,0.10664153099060059,132406.0,0.4997781813144684,251.52999877929688,180.33999633789062,6.089595317840576,3.9741950035095215
11,-0.5756685733795166,-0.06147907301783562,0.13824990391731262,-0.06775626540184021,-2.8542219297378324e-05,-0.0018367714947089553,-0.012644223868846893,0.01771685853600502,0.09689730405807495,-0.028384065255522728,-0.0033138941507786512,-0.0026444445829838514,-0.00014621877926401794,-0.003046866971999407,-0.005312053021043539,0.09339600801467896,0.753264844417572,15.957535743713379,0.009999999776482582,-0.006160054821521044,0.02872382290661335,0.6272070407867432,0.10646843910217285,133988.0,0.5001776218414307,277.42999267578125,201.9600067138672,6.482066631317139,4.421875
12,-0.6256645917892456,-0.06643116474151611,0.1502498835325241,-0.07206560671329498,-3.105451105511747e-05,-0.001983627676963806,-0.01371110137552023,0.019232235848903656,0.10538028925657272,-0.030827660113573074,-0.003522995626553893,-0.0028649054002016783,-0.0001612062769709155,-0.003188926726579666,-0.005753807257860899,0.101021409034729,0.8290087580680847,15.983674049377441,0.009999999776482582,-0.005380432121455669,0.032387129962444305,0.630319356918335,0.10513997077941895,133663.0,0.5001646280288696,298.8599853515625,229.50999450683594,7.12174654006958,5.254744052886963
13,-0.6485261917114258,-0.06891760975122452,0.1555623710155487,-0.07559683173894882,-3.254749390180223e-05,-0.0020599165000021458,-0.01426353957504034,0.019968604668974876,0.10915178060531616,-0.031905002892017365,-0.003686449956148863,-0.0029700598679482937,-0.00016425606736447662,-0.0034157191403210163,-0.005982646252959967,0.1066078394651413,0.8140844106674194,15.9900541305542,0.009999999776482582,-0.0058753215707838535,0.0399654246866703,0.6268832683563232,0.10603713989257812,134126.0,0.5002223253250122,323.2099914550781,277.42999267578125,6.9795427322387695,6.482066631317139
14,-0.697117030620575,-0.0741235539317131,0.16677069664001465,-0.082426518201828,-3.453591853030957e-05,-0.0022461125627160072,-0.015334030613303185,0.021358665078878403,0.11889766156673431,-0.03368112072348595,-0.003939582034945488,-0.0031966413371264935,-0.00017747205856721848,-0.003627040423452854,-0.006416683085262775,0.11459465324878693,0.8912215232849121,15.997350692749023,0.009999999776482582,-0.005692117847502232,0.03259650245308876,0.623828649520874,0.09733462333679199,136313.0,0.5003939867019653,348.29998779296875,298.8599853515625,8.162405014038086,7.12174654006958
