step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934088200330734,-0.0026205822359770536,-0.0037576723843812943,0.006125000771135092,-0.0025208466686308384,-3.7548807085840963e-07,-7.219357939902693e-05,-0.0015318350633606315,-0.00045195966958999634,-0.06176454946398735,0.0006707694265060127,-0.00013548845890909433,0.004025071859359741,-0.0013319248100742698,-0.00022002744663041085,-0.00010314275277778506,-0.00011331138375680894,-5.699255325453123e-06,-0.00010515126632526517,-0.0001964376715477556,-0.09610903263092041,0.004517395980656147,0.03724947199225426,15.938996315002441,0.001500000013038516,-0.006962514016777277,7.419370174407959,5.2963056564331055,0.24767303466796875,17731.0,0.4994279146194458,12.494253158569336,,-3.2567875385284424,
1,-0.1333056390285492,-0.007489325013011694,-0.011078627780079842,0.01679166406393051,-0.007613208144903183,-1.4852837466605706e-06,-0.00020253402180969715,-0.004693683236837387,-0.0014268787344917655,-0.18076640367507935,0.0020067282021045685,-0.0004645971057470888,0.01154003944247961,-0.0035111005418002605,-0.0007128058932721615,-0.000312274118186906,-0.0006336023798212409,-1.772041832737159e-05,-0.0003217930789105594,-0.0006054672412574291,-0.2943737506866455,0.01235535740852356,0.10469883680343628,15.961960792541504,0.003375000087544322,-0.00736269261687994,8.097204208374023,0.7200527191162109,0.09868621826171875,120067.0,0.4997960925102234,34.95000076293945,,-10.453250885009766,
2,-0.23094044625759125,-0.012555813416838646,-0.018680235370993614,0.028770819306373596,-0.01453503966331482,-2.8353547349979635e-06,-0.0003557002346497029,-0.008008258417248726,-0.0024828047025948763,-0.3151620328426361,0.0034885667264461517,-0.0008404600666835904,0.019546721130609512,-0.006078689359128475,-0.0013154507614672184,-0.0005410767043940723,-0.0012730997987091541,-3.07122063532006e-05,-0.0006189192645251751,-0.0010626076254993677,-0.5090600252151489,0.02033419720828533,0.17635463178157806,15.968811988830566,0.007593750022351742,-0.005957679357379675,7.603373050689697,0.7172162532806396,0.09650969505310059,120807.0,0.4998339116573334,56.279998779296875,,-17.033132553100586,
3,-0.3419414758682251,-0.018679313361644745,-0.02789156511425972,0.042249977588653564,-0.02193555235862732,-4.121184247196652e-06,-0.0005288699176162481,-0.011905658058822155,-0.003687565680593252,-0.45945414900779724,0.005150619428604841,-0.0012545771896839142,0.02875528298318386,-0.008912425488233566,-0.001918893656693399,-0.0008042582776397467,-0.0025188508443534374,-4.4564974814420566e-05,-0.0009576086886227131,-0.0015700564254075289,-0.7570546865463257,0.03037312440574169,0.2625023126602173,15.958173751831055,0.009999999776482582,-0.006587613839656115,6.683657169342041,0.7199158668518066,0.09835338592529297,120136.0,0.49976637959480286,85.41000366210938,,-26.192289352416992,
4,-0.4406660199165344,-0.02394571527838707,-0.03573649376630783,0.05424996837973595,-0.02744591049849987,-5.156326551514212e-06,-0.0006985349464230239,-0.015374395996332169,-0.004771900363266468,-0.6464062929153442,0.0066135115921497345,-0.0015690471045672894,0.037004075944423676,-0.011421099305152893,-0.0024287356063723564,-0.0010361333843320608,-0.002659700345247984,-5.833452451042831e-05,-0.001205710112117231,-0.002028982387855649,-0.9747521877288818,0.03617919981479645,0.3218458890914917,15.967434883117676,0.009999999776482582,-0.007125727832317352,6.615109443664551,0.7264533042907715,0.09822702407836914,119202.0,0.5001225471496582,108.3499984741211,,-34.517852783203125,
5,-0.5379571318626404,-0.0291534923017025,-0.043575696647167206,0.06624995917081833,-0.032693441957235336,-5.994153525534784e-06,-0.0008431607857346535,-0.018770549446344376,-0.005824152380228043,-0.744266152381897,0.008112887851893902,-0.0019537326879799366,0.045934706926345825,-0.01374036818742752,-0.0030820253305137157,-0.0012665819376707077,-0.003627109806984663,-6.801314884796739e-05,-0.0014364707749336958,-0.0024811848998069763,-1.1906132698059082,0.04560554027557373,0.40430688858032227,15.9629487991333,0.009999999776482582,-0.006023491267114878,5.920243263244629,0.7209141254425049,0.0983579158782959,119989.0,0.5002472996711731,131.3300018310547,12.494253158569336,-41.20389938354492,-3.2567875385284424
6,-0.639568567276001,-0.03458529710769653,-0.051726263016462326,0.07824994623661041,-0.04046983644366264,-8.146800610120408e-06,-0.0009823113214224577,-0.022315558046102524,-0.006961355917155743,-0.8509625196456909,0.009630709886550903,-0.0023460411466658115,0.053993385285139084,-0.016301844269037247,-0.0036028032191097736,-0.0015047749038785696,-0.0059182047843933105,-8.493864152114838e-05,-0.0018273040186613798,-0.002946152351796627,-1.4168800115585327,0.054794758558273315,0.4809790551662445,15.950174331665039,0.009999999776482582,-0.007266521919518709,5.715353488922119,0.7229931354522705,0.09874868392944336,119628.0,0.500018835067749,157.94000244140625,34.95000076293945,-48.95558547973633,-10.453250885009766
7,-0.7407835721969604,-0.03980489820241928,-0.059571072459220886,0.0902499407529831,-0.04610924422740936,-8.737773896427825e-06,-0.0011123914737254381,-0.025730933994054794,-0.008075001649558544,-1.0154715776443481,0.011099187657237053,-0.002665096428245306,0.06222753971815109,-0.0188145749270916,-0.004173155874013901,-0.001739599509164691,-0.006642909254878759,-9.735652565723285e-05,-0.0020820465870201588,-0.0034159799106419086,-1.6384071111679077,0.06325896829366684,0.5465184450149536,15.946858406066895,0.009999999776482582,-0.007060979027301073,5.700445652008057,0.7232129573822021,0.10425925254821777,118800.0,0.5000141263008118,180.33999633789062,85.41000366210938,-55.83599090576172,-26.192289352416992
8,-0.8025068044662476,-0.043282561004161835,-0.06477964669466019,0.09779159724712372,-0.04924021288752556,-9.35341086005792e-06,-0.0011954691726714373,-0.027831565588712692,-0.008697216399013996,-1.0218364000320435,0.011984294280409813,-0.0028741692658513784,0.0671045258641243,-0.02047652006149292,-0.004524274729192257,-0.001881195930764079,-0.0066059306263923645,-0.00010542821109993383,-0.002169662620872259,-0.003688311902806163,-1.770233154296875,0.07086019963026047,0.5813908576965332,15.932782173156738,0.009999999776482582,-0.006397247314453125,5.340528964996338,0.723682165145874,0.10387802124023438,118787.0,0.4993794858455658,201.9600067138672,108.3499984741211,-62.13163757324219,-34.517852783203125
9,-0.9376866221427917,-0.05072597786784172,-0.07607917487621307,0.11424992978572845,-0.05954454466700554,-1.1142903531435877e-05,-0.0014087350573390722,-0.032708145678043365,-0.010204418562352657,-1.2089914083480835,0.014011120423674583,-0.0033299941569566727,0.07905150204896927,-0.02374124526977539,-0.00530245341360569,-0.002199652139097452,-0.007913336157798767,-0.00012288099969737232,-0.0027048145420849323,-0.004330439958721399,-2.070591926574707,0.08189035952091217,0.7078402042388916,15.915141105651855,0.009999999776482582,-0.005976479966193438,4.906470775604248,0.7304437160491943,0.10555267333984375,117589.0,0.4989505112171173,229.50999450683594,131.3300018310547,-70.69902038574219,-41.20389938354492
10,-1.033896803855896,-0.05619543790817261,-0.08425025641918182,0.12624990940093994,-0.06412956863641739,-1.251137291546911e-05,-0.0015762768452987075,-0.036296725273132324,-0.011222807690501213,-1.323789119720459,0.015520724467933178,-0.003813882125541568,0.08803912997245789,-0.026044674217700958,-0.005881108343601227,-0.0024367442820221186,-0.009911543689668179,-0.00013507375842891634,-0.0029785986989736557,-0.00478756707161665,-2.2961602210998535,0.09099435806274414,0.7843407392501831,15.8999605178833,0.009999999776482582,-0.00655014393851161,4.753189563751221,0.7231161594390869,0.10464024543762207,118759.0,0.4988574683666229,251.52999877929688,157.94000244140625,-76.95549011230469,-48.95558547973633
11,-1.1347754001617432,-0.061629768460989,-0.09253643453121185,0.13824990391731262,-0.0699365958571434,-1.3436503650154918e-05,-0.0017087336163967848,-0.03962045907974243,-0.01230648159980774,-1.4604833126068115,0.0170061644166708,-0.004129578825086355,0.09532486647367477,-0.028820857405662537,-0.006487557198852301,-0.0026684864424169064,-0.011697184294462204,-0.00014714678400196135,-0.003137878142297268,-0.005253843031823635,-2.512840747833252,0.09971468150615692,0.8504717350006104,15.888066291809082,0.009999999776482582,-0.006237363908439875,4.487128734588623,0.7234704494476318,0.10435223579406738,118750.0,0.49865031242370605,277.42999267578125,180.33999633789062,-85.10448455810547,-55.83599090576172
12,-1.2321689128875732,-0.06664663553237915,-0.10012876987457275,0.1502498835325241,-0.07514709234237671,-1.4562436263076961e-05,-0.0018654456362128258,-0.04276297986507416,-0.013361556455492973,-1.5261802673339844,0.01845879852771759,-0.004400627221912146,0.10351775586605072,-0.03134503588080406,-0.006850182078778744,-0.002891986630856991,-0.01255187951028347,-0.00015923559840302914,-0.0032882175873965025,-0.0056914761662483215,-2.71797251701355,0.10855134576559067,0.9258936643600464,15.871233940124512,0.009999999776482582,-0.0065073976293206215,4.15923547744751,0.7276151180267334,0.10395550727844238,118214.0,0.49851158261299133,298.8599853515625,229.50999450683594,-90.453857421875,-70.69902038574219
13,-1.2783384323120117,-0.06912526488304138,-0.10381369292736053,0.1555623710155487,-0.0799599438905716,-1.5448091289727017e-05,-0.001907715923152864,-0.04451417922973633,-0.013880315236747265,-1.5307468175888062,0.01919037476181984,-0.004746211692690849,0.10660698264837265,-0.0326118990778923,-0.007243262138217688,-0.00299750454723835,-0.012693189084529877,-0.00016734653036110103,-0.003550878493115306,-0.005907417740672827,-2.820228099822998,0.11422887444496155,0.9469084143638611,15.892438888549805,0.009999999776482582,-0.0059683178551495075,4.139523506164551,0.726304292678833,0.10451483726501465,118321.0,0.49837979674339294,323.2099914550781,251.52999877929688,-97.564208984375,-76.95549011230469
14,-1.371872901916504,-0.07431259751319885,-0.11154870688915253,0.16677069664001465,-0.08487674593925476,-1.596569927642122e-05,-0.0020688893273472786,-0.047865014523267746,-0.014898593537509441,-1.7069175243377686,0.020511889830231667,-0.00493958406150341,0.11585746705532074,-0.03452562913298607,-0.007765102665871382,-0.0032204901799559593,-0.013447234407067299,-0.0001767736830515787,-0.0037510613910853863,-0.00634370744228363,-3.0352745056152344,0.12119245529174805,1.012887716293335,15.85127067565918,0.009999999776482582,-0.00683465925976634,4.122932434082031,0.7241179943084717,0.10491800308227539,118576.0,0.49765223264694214,348.29998779296875,277.42999267578125,-105.92313385009766,-85.10448455810547
15,-1.5324013233184814,-0.08286907523870468,-0.12442998588085175,0.18624985218048096,-0.0936996340751648,-1.8361643014941365e-05,-0.0023018938954919577,-0.05321815609931946,-0.016604434698820114,-1.834991455078125,0.022930337116122246,-0.005530308000743389,0.12881098687648773,-0.0387190580368042,-0.008625972084701061,-0.003594500944018364,-0.016965433955192566,-0.00020095982472412288,-0.004262236412614584,-0.007093068212270737,-3.3838706016540527,0.13614529371261597,1.1542776823043823,15.823415756225586,0.009999999776482582,-0.004261806607246399,3.774937868118286,0.7252993583679199,0.10480880737304688,118423.0,0.49742451310157776,372.8599853515625,298.8599853515625,-112.19678497314453,-90.453857421875
16,-1.6301206350326538,-0.08838307857513428,-0.13294053077697754,0.19824986159801483,-0.09940584003925323,-1.8489958165446296e-05,-0.0024221972562372684,-0.05652312561869621,-0.017591524869203568,-1.9539413452148438,0.02441599778831005,-0.0058579882606863976,0.137176513671875,-0.041195280849933624,-0.009147454053163528,-0.0038172882050275803,-0.015866057947278023,-0.0002066255983663723,-0.004378184676170349,-0.007527373731136322,-3.588775157928467,0.14607997238636017,1.217848300933838,15.779982566833496,0.009999999776482582,-0.006684371270239353,3.492185354232788,0.7314074039459229,0.10448718070983887,117603.0,0.4964545965194702,396.3900146484375,323.2099914550781,-118.55874633789062,-97.564208984375
17,-1.6527786254882812,-0.08967876434326172,-0.13468368351459503,0.2015625685453415,-0.09950397908687592,-1.994118429138325e-05,-0.0024848703760653734,-0.057588111609220505,-0.017927439883351326,-2.0440993309020996,0.02492309734225273,-0.006067045032978058,0.1396009624004364,-0.041846804320812225,-0.009326881729066372,-0.0038928191643208265,-0.015453152358531952,-0.0002103094884660095,-0.004524115938693285,-0.007665066979825497,-3.6646506786346436,0.1465037614107132,1.2517106533050537,15.741872787475586,0.009999999776482582,-0.006781792268157005,3.2548704147338867,0.721961498260498,0.10454082489013672,118939.0,0.4956914782524109,421.4800109863281,372.8599853515625,-127.10308837890625,-112.19678497314453
18,-1.8274765014648438,-0.09912761300802231,-0.14901474118232727,0.22225037217140198,-0.11038025468587875,-2.1485035176738165e-05,-0.0027351859025657177,-0.06357510387897491,-0.0198381245136261,-2.219367027282715,0.02735537849366665,-0.006685046479105949,0.15328894555568695,-0.04631955549120903,-0.01032672356814146,-0.00429511908441782,-0.01905939355492592,-0.00023426329426001757,-0.00499991700053215,-0.008466752246022224,-4.044197082519531,0.16303829848766327,1.3828924894332886,15.674626350402832,0.009999999776482582,-0.006966782733798027,2.8763351440429688,0.726567268371582,0.1042025089263916,118328.0,0.49424004554748535,443.92999267578125,396.3900146484375,-134.00161743164062,-118.55874633789062
19,-1.8426520824432373,-0.10001927614212036,-0.15049181878566742,0.22445893287658691,-0.11255118250846863,-2.2564314349438064e-05,-0.002764921635389328,-0.06399267911911011,-0.019931789487600327,-2.181209087371826,0.027717839926481247,-0.0068344129249453545,0.1558152586221695,-0.04650111123919487,-0.010422540828585625,-0.004327049478888512,-0.01856096088886261,-0.00024038701667450368,-0.005199817009270191,-0.008559536188840866,-4.07016658782959,0.1681022047996521,1.3729045391082764,15.635652542114258,0.009999999776482582,-0.0065856678411364555,2.9348905086517334,0.7237896919250488,0.10505247116088867,118604.0,0.49324002861976624,467.1300048828125,421.4800109863281,-139.56459045410156,-127.10308837890625
20,-2.022719383239746,-0.10941128432750702,-0.16461774706840515,0.24625089764595032,-0.12283550947904587,-2.3189413695945404e-05,-0.003008259227499366,-0.07002446800470352,-0.02192554995417595,-2.3139750957489014,0.03034629486501217,-0.00736800953745842,0.17004233598709106,-0.05126578360795975,-0.011386389844119549,-0.004741881974041462,-0.017907170578837395,-0.000258987391134724,-0.005502227693796158,-0.009379001334309578,-4.459861755371094,0.18699443340301514,1.4748940467834473,15.588932037353516,0.009999999776482582,-0.005535812117159367,2.6323280334472656,0.7284798622131348,0.10422468185424805,118053.0,0.4925094544887543,489.5299987792969,443.92999267578125,-145.49122619628906,-134.00161743164062
