step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04458611458539963,-0.002646073466166854,-0.0038195140659809113,0.006125000771135092,-0.0026446785777807236,-9.883012808131753e-08,-4.5610177039634436e-05,-0.00035028342972509563,-0.001503877341747284,-0.00044743833132088184,-0.05832841247320175,-0.0008783333469182253,0.010149567387998104,-0.0003029037034139037,0.004048527684062719,-0.0013254092773422599,-0.0024875174276530743,-0.0002280845947097987,-0.00010354042751714587,0.0,-8.79446160979569e-05,-5.331005922926124e-06,-0.00010942906374111772,-0.00020321246120147407,-0.20451894402503967,0.0036294586025178432,0.038740210235118866,15.933155059814453,0.001500000013038516,-0.007717628497630358,20.065401077270508,5.458078861236572,0.24230575561523438,17245.0,0.4991026222705841,13.25,,-5.629620552062988,
1,-0.1403384804725647,-0.007724551018327475,-0.011430840939283371,0.01770833134651184,-0.008256824687123299,-3.762792744055332e-07,-0.0003646745753940195,-0.001082265516743064,-0.004721793811768293,-0.001447255490347743,-0.1985350251197815,-0.002276319544762373,0.031206008046865463,-0.0009258824866265059,0.012047752737998962,-0.0037367353215813637,-0.021545473486185074,-0.0007322194869630039,-0.0003252773894928396,0.0,-0.0005632537649944425,-1.7156722606159747e-05,-0.0003491405805107206,-0.0006424298044294119,-0.6456246376037598,0.00937262736260891,0.11213376373052597,15.937638282775879,0.005062500014901161,-0.005896607879549265,23.021804809570312,0.7222154140472412,0.10443687438964844,118918.0,0.49922817945480347,34.72999954223633,,-16.832111358642578,
2,-0.24326756596565247,-0.013277800753712654,-0.019760530441999435,0.030249986797571182,-0.014534076675772667,-7.232085863506654e-07,-0.0011199635919183493,-0.001913981861434877,-0.008379073813557625,-0.0026040351949632168,-0.3333956003189087,-0.003846467239782214,0.05406808853149414,-0.0017356507014483213,0.02105078473687172,-0.006252560764551163,-0.06000463292002678,-0.001321345567703247,-0.0005677754525095224,0.0,-0.0012085743946954608,-3.195119643351063e-05,-0.0006486702477559447,-0.0011429681908339262,-1.1302989721298218,0.01678859256207943,0.16990113258361816,15.925249099731445,0.007593750022351742,-0.00607353774830699,24.0262451171875,0.7238461971282959,0.10354018211364746,118812.0,0.498992919921875,61.15999984741211,,-31.372909545898438,
3,-0.3265804052352905,-0.01770799234509468,-0.026468977332115173,0.04035414382815361,-0.01969524472951889,-1.033155967888888e-06,-0.0017534729558974504,-0.0024772020988166332,-0.011289339512586594,-0.003535918891429901,-0.49635815620422363,-0.004936413839459419,0.07308422774076462,-0.002366530941799283,0.02751731500029564,-0.008497973904013634,-0.1443312019109726,-0.0017623740714043379,-0.000766068696975708,0.0,-0.0020494204945862293,-4.2663355998229235e-05,-0.0008810370927676558,-0.0015448159538209438,-1.5261396169662476,0.020793233066797256,0.22434291243553162,15.942770957946777,0.009999999776482582,-0.0055967289954423904,23.227458953857422,0.7258789539337158,0.10405182838439941,118448.0,0.4992233216762543,85.47000122070312,,-47.01560592651367,
4,-0.4433053135871887,-0.0237419456243515,-0.035454727709293365,0.05424996465444565,-0.026973702013492584,-1.5065004390635295e-06,-0.0024016262032091618,-0.0035721114836633205,-0.01525045931339264,-0.004803582094609737,-0.6183810234069824,-0.006810744293034077,0.0984923243522644,-0.0033394652418792248,0.036900363862514496,-0.011449908837676048,-0.23289667069911957,-0.0024600664619356394,-0.0010303630260750651,0.0,-0.003297616494819522,-5.696527659893036e-05,-0.0011674410197883844,-0.0020928706508129835,-2.0529680252075195,0.028990259394049644,0.3261166214942932,15.949239730834961,0.009999999776482582,-0.006627372000366449,23.29856300354004,0.729097843170166,0.10412406921386719,117980.0,0.49948781728744507,107.87000274658203,,-58.81871032714844,
5,-0.5418716669082642,-0.029153332114219666,-0.043666861951351166,0.06624995917081833,-0.032696433365345,-1.8925733229480102e-06,-0.0038352711126208305,-0.004265098832547665,-0.018639950081706047,-0.005864378064870834,-0.7788717746734619,-0.008109645918011665,0.120737224817276,-0.0040489500388503075,0.045658569782972336,-0.013817074708640575,-0.29534727334976196,-0.003003943245857954,-0.0012669283896684647,0.0,-0.004404242616146803,-7.171583274612203e-05,-0.0015214075101539493,-0.0025573079474270344,-2.525881052017212,0.03585118427872658,0.3769375681877136,15.944563865661621,0.009999999776482582,-0.006956863217055798,21.944114685058594,0.7266843318939209,0.1038048267364502,118368.0,0.4995756447315216,131.17999267578125,13.25,-72.38827514648438,-5.629620552062988
6,-0.6401255130767822,-0.034374531358480453,-0.051605772227048874,0.07824994623661041,-0.03972101956605911,-1.9247049749537837e-06,-0.004097466357052326,-0.004931616596877575,-0.02187599614262581,-0.00688503822311759,-0.9479454755783081,-0.009547190740704536,0.14163923263549805,-0.004630771931260824,0.05314946174621582,-0.01653626561164856,-0.4523177146911621,-0.0035838978365063667,-0.0014853778993710876,0.0,-0.0046028564684093,-8.159501885529608e-05,-0.0018002078868448734,-0.0030226472299546003,-2.957787275314331,0.04058763384819031,0.49854207038879395,15.934076309204102,0.009999999776482582,-0.005929138977080584,21.68024444580078,0.7248220443725586,0.10370135307312012,118649.0,0.4990263283252716,156.72999572753906,34.72999954223633,-85.9842758178711,-16.832111358642578
7,-0.7407302856445312,-0.03975578397512436,-0.05965500324964523,0.0902499407529831,-0.046749554574489594,-2.3342213353316765e-06,-0.006145147141069174,-0.00577056547626853,-0.025436844676733017,-0.00801064446568489,-1.0731347799301147,-0.010918478481471539,0.16407543420791626,-0.005475979298353195,0.06251359730958939,-0.018735114485025406,-0.46890363097190857,-0.004142891149967909,-0.0017301280749961734,0.0,-0.006446950137615204,-9.294982010032982e-05,-0.0020852189045399427,-0.0035016813781112432,-3.4504189491271973,0.04678317904472351,0.5380619168281555,15.917076110839844,0.009999999776482582,-0.006649702321738005,20.88446044921875,0.7295708656311035,0.10388040542602539,117948.0,0.49905315041542053,181.52000427246094,61.15999984741211,-102.15922546386719,-31.372909545898438
8,-0.840183436870575,-0.04524143785238266,-0.0678403303027153,0.10224992036819458,-0.05125827714800835,-2.8023155209666584e-06,-0.006959021091461182,-0.006659284234046936,-0.029139425605535507,-0.009154465049505234,-1.1619880199432373,-0.012227535247802734,0.18742692470550537,-0.006210777908563614,0.07056231796741486,-0.02129935845732689,-0.5941047668457031,-0.004685370717197657,-0.001962427981197834,0.0,-0.006344457622617483,-0.00011008609726559371,-0.0022949292324483395,-0.004001356195658445,-3.9168272018432617,0.05458592623472214,0.6256930828094482,15.908209800720215,0.009999999776482582,-0.0074434783309698105,21.108963012695312,0.7301590442657471,0.10375547409057617,117882.0,0.498992919921875,203.6999969482422,85.47000122070312,-115.01978302001953,-47.01560592651367
9,-0.939851701259613,-0.05056832730770111,-0.07584713399410248,0.11424992978572845,-0.057933107018470764,-3.017410563188605e-06,-0.008700432255864143,-0.007567599415779114,-0.03251853212714195,-0.010201719589531422,-1.2735594511032104,-0.01388316135853529,0.2080666720867157,-0.0068078842014074326,0.07835950702428818,-0.023933466523885727,-0.5779812335968018,-0.005207656882703304,-0.002198458183556795,0.0,-0.006600543390959501,-0.00012255576439201832,-0.0025636174250394106,-0.00445120083168149,-4.3892974853515625,0.06230426952242851,0.7025034427642822,15.907554626464844,0.009999999776482582,-0.006960011087357998,20.528318405151367,0.7262735366821289,0.10457253456115723,118317.0,0.4988527297973633,229.1199951171875,131.17999267578125,-126.69022369384766,-72.38827514648438
10,-1.0388106107711792,-0.05572715029120445,-0.08351312577724457,0.12624990940093994,-0.06299547851085663,-3.3489318411739077e-06,-0.008440949022769928,-0.008122775703668594,-0.03594106435775757,-0.011264788918197155,-1.4374284744262695,-0.015097659081220627,0.229958176612854,-0.007534835021942854,0.08637005090713501,-0.026508312672376633,-0.6721670031547546,-0.005814816802740097,-0.0024296643678098917,0.0,-0.00841524451971054,-0.00013272356591187418,-0.0028675119392573833,-0.004905791953206062,-4.8565993309021,0.06761171668767929,0.7518684267997742,15.91963005065918,0.009999999776482582,-0.006318958476185799,20.091157913208008,0.7297511100769043,0.10385823249816895,117925.0,0.4992821514606476,252.89999389648438,156.72999572753906,-142.4123992919922,-85.9842758178711
