step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.02238399162888527,-0.0026164394803345203,0.006125000771135092,-0.0031629286240786314,-1.1416043435019674e-06,-9.219800995197147e-05,-0.0004639783874154091,0.0007423343486152589,0.004102393519133329,-0.0013104465324431658,-0.00011480011744424701,-0.00010178080992773175,-7.386197012237972e-06,-0.0006001931615173817,-0.0001990204182220623,0.004677852615714073,0.029624199494719505,15.961618423461914,0.001500000013038516,-0.006114597897976637,0.03260296210646629,7.268703460693359,0.25350284576416016,13068.0,0.5000630021095276,12.707864761352539,,0.30843228101730347,
1,-0.06985437870025635,-0.007657652720808983,0.017416663467884064,-0.014463551342487335,-1.242429789272137e-05,-0.000316973018925637,-0.0015180133050307631,0.002622344996780157,0.011959686875343323,-0.0036445315927267075,-0.0003921195166185498,-0.0003225998370908201,-3.7929097743472084e-05,-0.006522519048303366,-0.0006470566149801016,0.01194257102906704,0.08134050667285919,15.971089363098145,0.003375000087544322,-0.006214546505361795,0.030510136857628822,0.6162474155426025,0.10490822792053223,136314.0,0.49992355704307556,38.75,,0.47225502133369446,
2,-0.11689329147338867,-0.012556351721286774,0.028770819306373596,-0.022307222709059715,-1.901903669931926e-05,-0.00048610413796268404,-0.002561192959547043,0.0042306240648031235,0.01985222101211548,-0.005993828177452087,-0.0006862430600449443,-0.000540544162504375,-5.467492155730724e-05,-0.009763462468981743,-0.001088585122488439,0.019869573414325714,0.13797423243522644,15.978267669677734,0.007593750022351742,-0.006075568031519651,0.03146448731422424,0.6161603927612305,0.10394072532653809,136514.0,0.5004658699035645,62.16999816894531,,0.7770727872848511,
3,-0.17390303313732147,-0.01856847107410431,0.042249977588653564,-0.02739257737994194,-1.7126312741311267e-05,-0.000623792817350477,-0.003828636137768626,0.00586699228733778,0.028994902968406677,-0.008845864795148373,-0.0010086145484820008,-0.0007990444428287446,-6.0290025430731475e-05,-0.008090242743492126,-0.001601299038156867,0.02911003679037094,0.22515825927257538,15.987271308898926,0.009999999776482582,-0.007007618434727192,0.03274573013186455,0.6196234226226807,0.10459113121032715,135738.0,0.5004996061325073,88.3499984741211,,1.7699373960494995,
4,-0.22447840869426727,-0.023718442767858505,0.05424996465444565,-0.03436467796564102,-2.2150101358420216e-05,-0.0008528662729077041,-0.004937244113534689,0.007427079137414694,0.03769552335143089,-0.011229030787944794,-0.0012926096096634865,-0.0010313796810805798,-7.672618085052818e-05,-0.008373517543077469,-0.002068121451884508,0.036296963691711426,0.2582799196243286,15.99056625366211,0.009999999776482582,-0.007326324936002493,0.031105248257517815,0.6231241226196289,0.10393238067626953,135208.0,0.5006158947944641,110.94000244140625,,1.766855001449585,
5,-0.27423644065856934,-0.029145454987883568,0.06624995917081833,-0.03926338255405426,-3.259602090111002e-05,-0.0010286900214850903,-0.0060599371790885925,0.009118407033383846,0.04626483470201492,-0.013648668304085732,-0.0016101105138659477,-0.0012656075414270163,-9.303145634476095e-05,-0.010091151110827923,-0.002545852679759264,0.04396018385887146,0.33613085746765137,16.011804580688477,0.009999999776482582,-0.007115032058209181,0.02786720171570778,0.626265287399292,0.10390973091125488,134630.0,0.5012672543525696,134.69000244140625,,2.306936264038086,
6,-0.32581615447998047,-0.03453606739640236,0.0782410204410553,-0.04475502297282219,-2.5825629563769326e-05,-0.0011643082834780216,-0.007177723105996847,0.010465655475854874,0.05443517491221428,-0.01617555320262909,-0.0018541499739512801,-0.0014944418799132109,-9.876643161987886e-05,-0.007735652383416891,-0.00299402279779315,0.052836816757917404,0.3903113007545471,16.035778045654297,0.009999999776482582,-0.007230578921735287,0.030698386952280998,0.6230010986328125,0.1049187183380127,135047.0,0.5011270642280579,159.82000732421875,,2.830021381378174,
7,-0.37458181381225586,-0.03980585187673569,0.09000757336616516,-0.0532536506652832,-3.8510428566951305e-05,-0.0013634327333420515,-0.008254488930106163,0.012282158248126507,0.06251847743988037,-0.018636813387274742,-0.0021325931884348392,-0.001722798217087984,-0.00012045190669596195,-0.01204734854400158,-0.0034508518874645233,0.060840435326099396,0.4440261721611023,16.040756225585938,0.009999999776482582,-0.006788743194192648,0.0358583964407444,0.6236114501953125,0.1038370132446289,135135.0,0.501602053642273,182.86000061035156,12.707864761352539,3.20800518989563,0.30843228101730347
8,-0.42520150542259216,-0.04526511952280998,0.10191486775875092,-0.06247895583510399,-3.8756581488996744e-05,-0.0015402287244796753,-0.009401929564774036,0.013740821741521358,0.0712762326002121,-0.020967017859220505,-0.0024536973796784878,-0.0019585962872952223,-0.00014393142191693187,-0.011966563761234283,-0.003940799739211798,0.06949863582849503,0.5130376815795898,16.063793182373047,0.009999999776482582,-0.006092475727200508,0.042452067136764526,0.624589204788208,0.10540223121643066,134664.0,0.5020570755004883,205.38999938964844,62.16999816894531,3.640871524810791,0.7770727872848511
9,-0.46965107321739197,-0.05001071095466614,0.11275246739387512,-0.06412860751152039,-3.64099360012915e-05,-0.0016323958989232779,-0.01033090241253376,0.01510583609342575,0.07865627855062485,-0.02325204759836197,-0.002729949075728655,-0.0021602832712233067,-0.00014290247054304928,-0.010713495314121246,-0.004326214082539082,0.07694043219089508,0.5604473948478699,16.055503845214844,0.009999999776482582,-0.006598080974072218,0.04306613281369209,0.6260559558868408,0.10393834114074707,134664.0,0.5021496415138245,228.41000366210938,88.3499984741211,4.350471019744873,1.7699373960494995
